Precinct	total_votes	votes|La Shawn K. Ford
28001	102	102
28012	130	130
28014	127	127
28031	252	252
28039	92	92
28041	116	116
28042	106	106
28043	178	178
29002	267	267
29003	180	180
29006	138	138
29008	122	122
29011	117	117
29014	185	185
29016	206	206
29018	185	185
29019	206	206
29020	218	218
29021	196	196
29022	153	153
29028	235	235
29034	102	102
29042	190	190
37001	109	109
37005	183	183
37006	157	157
37009	167	167
37010	168	168
37011	87	87
37014	178	178
37015	177	177
37016	163	163
37017	137	137
37020	82	82
37022	62	62
37023	174	174
37024	176	176
37025	154	154
37026	207	207
37027	163	163
37029	77	77
37030	139	139
37031	158	158
37032	159	159
37033	193	193
37034	136	136
37036	141	141
37038	193	193
37039	138	138
37040	187	187
37041	141	141
Berwyn Ward 7 Precinct 1	140	140
Berwyn Ward 7 Precinct 2	155	155
Berwyn Ward 7 Precinct 4	170	170
Berwyn Ward 8 Precinct 1	252	252
Berwyn Ward 8 Precinct 3	104	104
Lyons 9	258	258
Lyons 11	156	156
Lyons 15	235	235
Lyons 16	359	359
Lyons 18	146	146
Lyons 21	14	14
Oak Park 16	542	542
Oak Park 17	515	515
Oak Park 25	334	334
Oak Park 27	109	109
Oak Park 29	355	355
Oak Park 31	591	591
Oak Park 33	324	324
Oak Park 36	192	192
Proviso 8	35	35
Proviso 21	166	166
Proviso 25	217	217
Proviso 26	245	245
Proviso 32	235	235
Proviso 54	217	217
Proviso 63	216	216
Proviso 75	49	49
Proviso 76	182	182
Proviso 96	107	107
Proviso 102	235	235
Riverside 6	135	135
Riverside 7	130	130
Riverside 11	13	13
Riverside 12	119	119
Riverside 13	158	158
