Precinct	total_votes	votes|Larry Rogers, Jr.
02010	53	53
03001	291	291
03002	334	334
03003	186	186
03004	235	235
03005	122	122
03006	210	210
03007	179	179
03008	161	161
03009	217	217
03010	104	104
03011	212	212
03012	273	273
03013	248	248
03014	179	179
03015	198	198
03016	185	185
03017	214	214
03018	266	266
03019	196	196
03020	218	218
03021	248	248
03022	194	194
03023	171	171
03024	190	190
03025	281	281
03026	275	275
03027	198	198
03028	160	160
03029	210	210
03030	213	213
03031	242	242
03032	199	199
03033	190	190
03034	239	239
03035	84	84
03036	115	115
03037	176	176
03038	238	238
03039	252	252
03040	231	231
03041	189	189
04001	284	284
04002	241	241
04003	184	184
04004	296	296
04005	238	238
04006	304	304
04007	336	336
04008	288	288
04009	334	334
04010	315	315
04011	212	212
04012	242	242
04013	135	135
04014	260	260
04015	294	294
04016	240	240
04017	235	235
04018	244	244
04019	150	150
04020	202	202
04021	198	198
04022	224	224
04023	309	309
04024	215	215
04025	207	207
04026	216	216
04027	273	273
04028	197	197
04029	201	201
04030	243	243
04031	326	326
04032	256	256
04033	232	232
04034	212	212
04035	308	308
04036	272	272
04037	269	269
04038	283	283
05001	167	167
05002	145	145
05003	179	179
05004	247	247
05005	181	181
05006	171	171
05007	236	236
05008	212	212
05009	267	267
05010	153	153
05011	261	261
05012	135	135
05013	156	156
05014	223	223
05015	184	184
05016	165	165
05017	155	155
05018	204	204
05019	214	214
05020	265	265
05021	195	195
05022	271	271
05023	351	351
05024	222	222
05025	237	237
05026	216	216
05027	167	167
05028	251	251
05029	237	237
05030	151	151
05031	163	163
05032	292	292
05033	240	240
05034	191	191
05035	233	233
05036	115	115
05037	235	235
05038	190	190
05039	177	177
05040	165	165
05041	157	157
06001	230	230
06002	204	204
06003	223	223
06004	112	112
06005	92	92
06006	210	210
06007	183	183
06008	190	190
06009	138	138
06010	95	95
06011	139	139
06012	98	98
06013	136	136
06014	176	176
06015	101	101
06016	231	231
06017	104	104
06018	90	90
06019	150	150
06020	87	87
06021	79	79
06022	95	95
06023	60	60
06024	87	87
06025	88	88
06026	105	105
06027	84	84
06028	74	74
06029	233	233
06030	130	130
06031	239	239
06032	173	173
06033	176	176
06034	189	189
06035	174	174
06036	242	242
06037	247	247
06038	219	219
06039	146	146
06040	159	159
06041	188	188
06042	158	158
06043	148	148
06044	152	152
06045	196	196
06046	112	112
06047	128	128
06048	181	181
07001	152	152
07002	136	136
07003	223	223
07004	191	191
07005	142	142
07006	217	217
07007	135	135
07008	138	138
07009	306	306
07010	212	212
07011	147	147
07012	141	141
07013	121	121
07014	171	171
07015	178	178
07016	142	142
07017	130	130
07018	131	131
07019	179	179
07020	116	116
07021	136	136
07022	148	148
07023	215	215
07024	147	147
07025	103	103
07026	168	168
07027	157	157
07028	98	98
07029	141	141
07030	115	115
07031	89	89
07032	323	323
07033	307	307
07034	245	245
07035	187	187
07036	248	248
07037	201	201
07038	156	156
07039	159	159
07040	155	155
07041	165	165
07042	171	171
07043	178	178
07044	136	136
07045	137	137
07046	88	88
08001	142	142
08002	159	159
08003	260	260
08004	234	234
08005	256	256
08006	205	205
08007	265	265
08008	235	235
08009	149	149
08010	308	308
08011	166	166
08012	142	142
08013	203	203
08014	102	102
08015	162	162
08016	53	53
08017	197	197
08018	121	121
08019	265	265
08020	234	234
08021	238	238
08022	173	173
08023	159	159
08024	131	131
08025	163	163
08026	169	169
08027	236	236
08028	205	205
08029	232	232
08030	193	193
08031	141	141
08032	139	139
08033	170	170
08034	198	198
08035	231	231
08036	225	225
08037	187	187
