Precinct	total_votes	votes|Janice D. Schakowsky
40004	116	116
40009	138	138
40010	125	125
40018	150	150
40022	241	241
40025	50	50
40026	268	268
40027	300	300
40028	266	266
40031	212	212
40033	305	305
40035	124	124
40036	218	218
40037	205	205
40039	49	49
41001	128	128
41002	151	151
41004	193	193
41005	167	167
41007	180	180
41008	176	176
41010	221	221
41011	110	110
41013	149	149
41015	213	213
41017	26	26
41018	146	146
41020	131	131
41023	54	54
41025	84	84
41028	118	118
41029	90	90
41031	214	214
41033	22	22
41034	153	153
41036	171	171
41037	188	188
41040	186	186
41041	130	130
41042	145	145
41043	160	160
41044	148	148
41045	76	76
44003	216	216
44004	250	250
44007	188	188
44024	207	207
44035	320	320
46001	196	196
46002	219	219
46004	226	226
46005	3	3
46006	176	176
46007	316	316
46008	171	171
46009	264	264
46011	190	190
46012	238	238
46013	227	227
46014	215	215
46015	238	238
46016	161	161
46017	296	296
46018	249	249
46020	187	187
46021	142	142
46022	141	141
46023	181	181
46024	203	203
46025	209	209
46026	247	247
46027	282	282
46029	207	207
46032	207	207
46034	240	240
46035	219	219
46037	179	179
46038	33	33
46040	243	243
47015	369	369
47019	340	340
47023	339	339
47030	171	171
48001	268	268
48002	151	151
48003	269	269
48004	260	260
48005	199	199
48006	303	303
48007	291	291
48008	159	159
48009	165	165
48010	393	393
48011	267	267
48012	317	317
48013	346	346
48014	158	158
48015	140	140
48016	253	253
48017	258	258
48018	202	202
48019	241	241
48020	350	350
48021	261	261
48022	301	301
48023	312	312
48024	248	248
48025	302	302
48026	125	125
48027	280	280
48028	264	264
48029	193	193
48030	264	264
48031	283	283
48032	245	245
48033	190	190
48034	241	241
48035	160	160
48036	183	183
48037	261	261
48038	343	343
48039	228	228
48040	262	262
48041	264	264
48042	355	355
48043	266	266
48044	339	339
48045	222	222
48046	179	179
49001	155	155
49002	174	174
49003	282	282
49004	309	309
49005	300	300
49006	241	241
49007	242	242
49008	194	194
49009	251	251
49010	284	284
49011	337	337
49012	359	359
49013	316	316
49014	235	235
49015	179	179
49016	270	270
49017	136	136
49018	356	356
49019	196	196
49020	404	404
49021	141	141
49022	281	281
49023	315	315
49024	175	175
49025	334	334
49026	289	289
49027	279	279
49028	335	335
49029	333	333
49030	305	305
49031	212	212
49032	264	264
49033	214	214
50001	155	155
50002	102	102
50003	153	153
50004	202	202
50005	108	108
50006	215	215
50007	261	261
50008	160	160
50009	160	160
50010	109	109
50011	99	99
50012	97	97
50013	157	157
50014	48	48
50015	263	263
50016	55	55
50017	112	112
50018	62	62
50019	107	107
50020	184	184
50021	166	166
50022	116	116
50023	89	89
50025	124	124
50026	135	135
50027	48	48
50028	144	144
50029	98	98
50030	115	115
50031	189	189
50032	158	158
50033	133	133
50034	259	259
50035	261	261
50036	187	187
50037	205	205
50038	101	101
50039	81	81
50040	131	131
Elk Grove 1	233	233
Elk Grove 5	318	318
Elk Grove 6	119	119
Elk Grove 7	266	266
Elk Grove 8	156	156
Elk Grove 10	297	297
Elk Grove 11	206	206
Elk Grove 14	84	84
