Precinct	total_votes	votes|Lou Lang
40004	195	195
40010	292	292
40029	0	0
40035	1	1
40039	91	91
50001	295	295
50002	208	208
50003	289	289
50004	357	357
50005	207	207
50006	393	393
50007	395	395
50008	58	58
50009	286	286
50010	285	285
50011	195	195
50012	136	136
50013	391	391
50014	104	104
50015	409	409
50016	106	106
50017	314	314
50018	81	81
50019	215	215
50020	325	325
50021	302	302
50022	239	239
50023	211	211
50025	267	267
50026	293	293
50027	89	89
50028	364	364
50029	296	296
50030	242	242
50031	440	440
50032	386	386
50033	265	265
50034	463	463
50035	447	447
50036	324	324
50037	386	386
50038	142	142
50039	194	194
50040	287	287
Niles 4	331	331
Niles 5	261	261
Niles 6	165	165
Niles 10	464	464
Niles 12	321	321
Niles 15	494	494
Niles 16	600	600
Niles 17	573	573
Niles 20	410	410
Niles 24	519	519
Niles 25	276	276
Niles 26	277	277
Niles 27	395	395
Niles 29	294	294
Niles 30	331	331
Niles 33	328	328
Niles 34	434	434
Niles 35	507	507
Niles 39	514	514
Niles 40	204	204
Niles 41	534	534
Niles 42	431	431
Niles 44	542	542
Niles 46	539	539
Niles 51	240	240
Niles 52	354	354
Niles 55	323	323
Niles 56	547	547
Niles 57	498	498
Niles 58	447	447
Niles 61	608	608
Niles 63	579	579
