Precinct	total_votes	votes|Karen A. Yarbrough
01001	158	158
01002	110	110
01003	159	159
01004	147	147
01005	123	123
01006	125	125
01007	106	106
01008	126	126
01009	121	121
01010	123	123
01011	131	131
01012	194	194
01013	69	69
01014	152	152
01015	156	156
01016	162	162
01017	127	127
01018	167	167
01019	158	158
01020	133	133
01021	140	140
01022	103	103
01023	229	229
01024	153	153
01025	136	136
01026	94	94
01027	132	132
01028	51	51
01029	145	145
01030	170	170
01031	147	147
01032	127	127
01033	147	147
01034	129	129
01035	154	154
01036	115	115
01037	143	143
01038	126	126
01039	110	110
01040	143	143
01041	111	111
01042	53	53
01043	82	82
01044	148	148
02001	140	140
02002	131	131
02003	169	169
02004	107	107
02005	147	147
02006	114	114
02007	133	133
02008	163	163
02009	91	91
02010	131	131
02011	151	151
02012	165	165
02013	157	157
02014	163	163
02015	148	148
02016	122	122
02017	193	193
02018	138	138
02019	104	104
02020	110	110
02021	168	168
02022	134	134
02023	108	108
02024	121	121
02025	149	149
02026	104	104
02027	114	114
02028	147	147
02029	148	148
02030	130	130
02031	158	158
02032	108	108
02033	220	220
02034	155	155
02035	134	134
02036	121	121
02037	119	119
02038	116	116
02039	92	92
02040	155	155
02041	90	90
02042	124	124
02043	127	127
02044	90	90
02045	153	153
02046	76	76
03001	302	302
03002	345	345
03003	179	179
03004	262	262
03005	122	122
03006	183	183
03007	195	195
03008	166	166
03009	245	245
03010	113	113
03011	233	233
03012	296	296
03013	228	228
03014	172	172
03015	210	210
03016	197	197
03017	211	211
03018	273	273
03019	174	174
03020	237	237
03021	247	247
03022	179	179
03023	175	175
03024	207	207
03025	261	261
03026	280	280
03027	190	190
03028	165	165
03029	203	203
03030	219	219
03031	263	263
03032	198	198
03033	180	180
03034	221	221
03035	85	85
03036	113	113
03037	184	184
03038	247	247
03039	213	213
03040	236	236
03041	197	197
04001	304	304
04002	223	223
04003	205	205
04004	314	314
04005	279	279
04006	322	322
04007	366	366
04008	318	318
04009	373	373
04010	324	324
04011	226	226
04012	264	264
04013	122	122
04014	278	278
04015	306	306
04016	236	236
04017	209	209
04018	270	270
04019	160	160
04020	190	190
04021	199	199
04022	240	240
04023	317	317
04024	229	229
04025	196	196
04026	234	234
04027	285	285
04028	222	222
04029	233	233
04030	285	285
04031	336	336
04032	269	269
04033	251	251
04034	239	239
04035	316	316
04036	296	296
04037	278	278
04038	302	302
05001	180	180
05002	149	149
05003	171	171
05004	271	271
05005	214	214
05006	202	202
05007	248	248
05008	200	200
05009	271	271
05010	165	165
05011	250	250
05012	144	144
05013	189	189
05014	243	243
05015	201	201
05016	194	194
05017	188	188
05018	202	202
05019	212	212
05020	252	252
05021	215	215
05022	275	275
05023	345	345
05024	240	240
05025	247	247
05026	247	247
05027	159	159
05028	272	272
05029	258	258
05030	156	156
05031	182	182
05032	314	314
05033	261	261
05034	186	186
05035	242	242
05036	116	116
05037	231	231
05038	218	218
05039	170	170
05040	181	181
05041	166	166
06001	251	251
06002	232	232
06003	236	236
06004	127	127
06005	106	106
06006	235	235
06007	200	200
