Precinct	total_votes	votes|Emil Jones, III
09001	216	216
09002	313	313
09004	194	194
09005	344	344
09006	334	334
09009	71	71
09010	291	291
09013	87	87
09014	434	434
09017	231	231
09019	336	336
09020	347	347
09021	304	304
09022	338	338
09027	310	310
09029	323	323
09030	272	272
09031	212	212
09032	351	351
09034	252	252
09035	356	356
09038	121	121
09039	383	383
09040	380	380
09043	149	149
09044	59	59
19014	437	437
19020	342	342
19031	306	306
19040	372	372
19042	318	318
19043	563	563
19047	560	560
19048	479	479
19049	477	477
21002	94	94
21005	399	399
21006	297	297
21010	323	323
21011	325	325
21012	333	333
21017	280	280
21019	363	363
21020	76	76
21021	294	294
21022	228	228
21023	316	316
21024	364	364
21025	307	307
21027	357	357
21033	319	319
21034	157	157
21035	417	417
21036	253	253
21037	264	264
21038	337	337
21039	301	301
21040	334	334
21041	369	369
21042	233	233
21043	6	6
21044	245	245
21045	333	333
21046	395	395
21048	206	206
21049	395	395
21050	287	287
21052	27	27
34001	402	402
34002	306	306
34003	371	371
34004	270	270
34005	324	324
34006	423	423
34007	412	412
34008	297	297
34009	240	240
34010	353	353
34011	318	318
34012	406	406
34013	362	362
34014	281	281
34015	327	327
34016	307	307
34017	467	467
34018	272	272
34019	397	397
34020	418	418
34021	437	437
34022	370	370
34023	290	290
34024	320	320
34025	540	540
34026	386	386
34027	309	309
34028	237	237
34029	285	285
34030	362	362
34031	308	308
34032	365	365
34033	293	293
34034	381	381
34035	406	406
34036	324	324
34037	214	214
34038	172	172
34039	256	256
34040	404	404
34041	223	223
34042	361	361
34043	337	337
34044	374	374
34045	391	391
34046	250	250
34047	349	349
34048	387	387
34049	293	293
34050	292	292
34051	384	384
34052	275	275
34053	228	228
Bremen 1	3	3
Bremen 11	390	390
Bremen 13	375	375
Bremen 16	322	322
Bremen 17	393	393
Bremen 19	167	167
Bremen 20	270	270
Bremen 23	154	154
Bremen 25	209	209
Bremen 27	397	397
Bremen 30	331	331
Bremen 36	216	216
Bremen 46	303	303
Bremen 50	332	332
Bremen 53	209	209
Bremen 54	254	254
Bremen 58	393	393
Bremen 59	121	121
Bremen 60	282	282
Bremen 64	435	435
Bremen 65	203	203
Bremen 68	185	185
Bremen 72	244	244
Bremen 76	273	273
Bremen 79	332	332
Calumet 1	390	390
Calumet 2	365	365
Calumet 3	438	438
Calumet 4	387	387
Calumet 5	382	382
Calumet 6	625	625
Calumet 7	482	482
Calumet 8	280	280
Calumet 9	336	336
Calumet 10	481	481
Calumet 11	644	644
Calumet 12	332	332
Orland 6	248	248
Orland 12	1	1
Orland 13	513	513
Orland 17	272	272
Orland 19	236	236
Orland 21	405	405
Orland 23	288	288
Orland 24	292	292
Orland 27	246	246
Orland 30	219	219
Orland 34	366	366
Orland 35	341	341
Orland 41	313	313
Orland 46	41	41
Orland 49	257	257
Orland 50	298	298
Orland 52	336	336
Orland 62	370	370
Orland 74	245	245
Palos 1	122	122
Palos 3	286	286
Palos 9	239	239
Palos 15	308	308
Palos 24	40	40
Palos 33	364	364
Thornton 31	56	56
Worth 7	306	306
Worth 8	495	495
Worth 9	0	0
Worth 12	263	263
Worth 14	404	404
Worth 16	163	163
Worth 17	477	477
Worth 18	234	234
Worth 19	396	396
Worth 20	302	302
Worth 23	374	374
Worth 24	217	217
Worth 34	397	397
Worth 42	311	311
Worth 43	307	307
Worth 50	408	408
Worth 55	223	223
Worth 59	615	615
Worth 64	455	455
Worth 65	474	474
Worth 68	387	387
Worth 79	214	214
Worth 88	225	225
Worth 89	418	418
Worth 95	347	347
Worth 97	374	374
