Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
25031	926	640	263	15	8
25032	373	306	56	6	5
26001	407	359	30	17	1
26002	330	297	23	7	3
26003	443	369	62	9	3
26004	234	217	8	7	2
26005	342	310	19	11	2
26006	315	278	26	7	4
26007	375	343	19	12	1
26008	192	163	21	4	4
26009	264	236	18	6	4
26010	323	291	20	10	2
26011	322	281	32	5	4
26012	402	348	28	19	7
26013	191	176	8	5	2
26014	275	249	16	7	3
26015	215	189	18	5	3
26016	194	168	17	7	2
26017	320	233	76	5	6
26018	270	234	23	6	7
26019	222	197	22	3	0
26020	330	281	40	9	0
26021	443	395	32	8	8
26022	183	162	13	5	3
26023	240	207	22	7	4
26024	300	263	26	8	3
26025	335	295	23	13	4
26026	257	228	22	7	0
26027	446	395	34	14	3
26028	550	438	100	11	1
26029	235	194	34	5	2
26030	284	263	15	3	3
26031	159	133	19	4	3
26032	448	349	75	20	4
26033	425	369	36	18	2
26034	460	415	34	8	3
26035	315	287	17	9	2
26036	379	316	42	19	2
26037	396	361	21	10	4
26038	154	140	7	2	5
26039	412	347	50	9	6
26040	247	225	10	10	2
26041	430	382	29	16	3
26042	303	271	23	8	1
26043	198	188	7	2	1
26044	211	190	14	5	2
26045	172	146	19	4	3
26046	268	204	53	7	4
26047	235	204	23	5	3
26048	357	303	31	16	7
26049	200	178	17	2	3
27001	931	711	190	25	5
27002	475	363	97	9	6
27003	252	235	10	3	4
27004	223	208	13	1	1
27005	324	286	22	10	6
27006	527	434	82	9	2
27007	630	531	82	14	3
27008	312	290	16	4	2
27009	242	173	69	0	0
27010	439	409	18	6	6
27011	614	452	134	19	9
27012	340	228	109	3	0
27013	570	519	40	8	3
27014	198	191	5	1	1
27015	213	205	2	3	3
27016	517	397	100	16	4
27017	408	363	34	6	5
27018	284	256	15	10	3
27019	205	186	12	5	2
27020	324	310	3	7	4
27021	477	351	116	9	1
27022	193	182	7	2	2
27023	282	266	8	4	4
27024	286	265	18	3	0
27025	385	342	31	8	4
27026	313	287	16	8	2
27027	504	451	34	15	4
27028	431	316	102	8	5
27029	264	239	11	10	4
27030	189	179	6	3	1
27031	318	295	11	9	3
27032	372	335	23	9	5
27033	486	389	79	16	2
27034	287	277	8	1	1
27035	527	387	120	10	10
27036	334	299	14	8	13
27037	554	437	101	12	4
27038	670	530	113	15	12
27039	293	276	11	3	3
27040	642	499	123	16	4
27041	333	319	8	3	3
27042	312	243	52	15	2
27043	269	242	16	8	3
27044	268	257	4	6	1
27045	987	726	238	21	2
27046	383	247	126	7	3
27047	295	262	22	7	4
27048	844	682	139	15	8
27049	287	273	8	5	1
27050	371	356	10	3	2
28001	232	221	6	1	4
28002	306	289	10	5	2
28003	269	252	5	7	5
28004	347	260	69	13	5
28005	228	202	15	9	2
28006	204	175	25	2	2
28007	313	302	6	4	1
28008	445	339	92	13	1
28009	326	315	5	5	1
28010	465	379	67	12	7
28011	696	604	64	17	11
28012	320	309	5	4	2
28013	377	356	13	3	5
28014	249	240	3	3	3
28015	75	69	2	1	3
28016	199	190	5	1	3
28017	280	269	4	6	1
28018	284	276	2	3	3
28019	305	268	27	6	4
28020	297	280	9	5	3
28021	268	255	5	4	4
28022	299	274	8	12	5
28023	366	341	17	4	4
28024	267	246	12	7	2
28025	438	411	16	6	5
28026	317	301	10	2	4
28027	386	264	109	8	5
28028	453	347	93	6	7
28029	174	163	7	4	0
28030	52	50	1	1	0
28031	438	414	14	6	4
28032	305	284	6	4	11
28033	340	327	7	2	4
28034	567	526	22	12	7
28035	377	359	4	10	4
28036	180	176	0	2	2
28037	395	384	7	3	1
28038	158	150	3	0	5
28039	238	226	6	4	2
28040	436	425	2	3	6
28041	235	225	5	3	2
28042	326	308	9	4	5
28043	397	385	6	3	3
28044	222	213	3	3	3
28045	459	353	87	10	9
28046	678	537	107	28	6
29001	534	426	84	13	11
29002	531	500	16	6	9
29003	431	402	13	13	3
29004	429	407	8	8	6
29005	337	318	10	4	5
29006	343	326	7	6	4
29007	419	362	42	10	5
29008	355	338	7	5	5
29009	468	352	90	12	14
29010	562	454	83	10	15
29011	233	222	4	6	1
29012	483	453	25	4	1
29013	432	410	15	3	4
29014	364	346	6	8	4
29015	466	429	19	9	9
29016	381	358	7	10	6
29017	356	345	2	6	3
29018	389	368	8	8	5
29019	409	386	10	10	3
29020	498	468	10	17	3
29021	506	480	10	9	7
29022	291	253	26	6	6
29023	467	342	103	11	11
29024	360	344	10	1	5
29025	479	462	13	3	1
29026	407	371	26	5	5
29027	358	349	4	3	2
29028	488	454	20	7	7
29029	389	265	106	6	12
29030	553	476	64	5	8
29031	428	251	153	8	16
29032	400	230	138	20	12
29033	293	277	7	5	4
29034	301	260	27	5	9
29035	296	288	2	3	3
29036	346	322	12	9	3
29037	400	372	14	6	8
29038	439	329	88	8	14
29039	391	285	79	14	13
29040	449	431	6	8	4
29041	326	314	7	2	3
29042	441	419	16	5	1
29043	511	454	39	13	5
29044	518	489	16	3	10
30001	488	364	94	18	12
30002	412	320	77	10	5
30003	357	294	47	10	6
30004	416	303	94	15	4
30005	302	252	40	4	6
30006	350	292	48	5	5
30007	454	345	89	12	8
30008	534	446	67	15	6
30009	352	253	79	13	7
30010	439	346	73	13	7
30011	383	328	36	8	11
30012	362	286	57	12	7
30013	414	320	76	11	7
30014	268	225	33	7	3
30015	424	319	87	12	6
30016	203	159	35	5	4
30017	403	309	77	15	2
30018	517	458	39	14	6
30019	378	329	40	2	7
30020	461	359	75	18	9
30021	319	241	61	9	8
30022	574	489	63	16	6
30023	463	386	60	9	8
30024	550	475	60	14	1
30025	607	507	76	16	8
30026	258	193	59	3	3
30027	292	221	62	2	7
30028	439	369	54	12	4
30029	234	199	25	2	8
30030	196	163	23	5	5
30031	288	215	66	5	2
30032	324	266	43	11	4
31001	253	221	23	3	6
31002	233	200	27	2	4
31003	232	173	47	8	4
31004	404	355	31	11	7
31005	294	231	46	13	4
31006	206	177	19	4	6
31007	431	393	30	6	2
31008	218	181	24	6	7
31009	272	224	36	8	4
31010	242	199	35	2	6
31011	221	166	47	4	4
31012	257	200	47	6	4
31013	277	249	18	4	6
31014	249	199	38	8	4
31015	255	192	45	7	11
31016	350	310	35	4	1
31017	259	203	44	5	7
31018	264	219	34	7	4
31019	252	209	35	4	4
31020	242	203	28	6	5
31021	263	227	25	9	2
31022	234	204	16	9	5
31023	285	236	38	6	5
31024	276	218	47	5	6
31025	257	210	39	3	5
31026	307	257	40	6	4
31027	312	263	39	4	6
31028	226	181	37	7	1
31029	294	233	48	10	3
31030	213	179	27	3	4
31031	236	183	43	8	2
31032	231	185	34	7	5
31033	237	180	41	9	7
31034	259	193	54	6	6
31035	305	246	46	10	3
31036	304	255	30	12	7
31037	273	220	35	12	6
31038	217	189	20	5	3
31039	316	284	22	3	7
31040	319	258	43	16	2
31041	238	205	26	2	5
32001	638	504	115	16	3
32002	626	458	155	12	1
32003	630	530	83	12	5
32004	557	428	110	16	3
32005	596	463	116	15	2
32006	690	569	107	13	1
32007	626	475	128	18	5
32008	727	513	194	19	1
32009	554	419	125	7	3
32010	618	431	165	14	8
32011	525	480	33	10	2
32012	428	375	40	13	0
32013	629	443	169	11	6
32014	595	518	61	13	3
32015	583	427	141	11	4
32016	597	469	103	19	6
32017	579	502	58	15	4
32018	546	341	191	9	5
32019	592	460	115	14	3
32020	550	493	43	13	1
32021	632	462	146	19	5
32022	730	635	78	12	5
32023	663	471	171	13	8
32024	461	302	143	12	4
32025	585	438	124	14	9
32026	645	557	69	13	6
32027	570	372	184	10	4
32028	581	517	50	12	2
32029	638	523	93	21	1
32030	613	419	175	17	2
32031	621	468	142	8	3
32032	651	501	133	15	2
32033	616	447	147	13	9
32034	655	528	109	14	4
32035	620	450	151	14	5
32036	648	491	147	9	1
32037	585	480	88	15	2
32038	550	428	104	12	6
32039	675	408	254	10	3
32040	649	500	132	14	3
32041	619	432	166	15	6
32042	538	394	128	8	8
32043	541	473	51	14	3
33001	543	478	44	14	7
33002	723	597	90	25	11
33003	762	639	90	28	5
33004	748	611	112	19	6
33005	512	415	71	20	6
33006	485	396	73	11	5
33007	626	528	65	18	15
33008	755	646	95	9	5
33009	618	486	104	18	10
33010	537	413	100	19	5
33011	619	504	92	20	3
33012	551	443	82	15	11
33013	554	458	72	21	3
33014	293	239	40	10	4
33015	541	465	59	12	5
33016	725	578	110	31	6
33017	618	484	96	23	15
33018	754	637	78	34	5
33019	641	504	113	13	11
33020	651	572	49	28	2
33021	589	502	61	21	5
33022	509	397	90	17	5
33023	606	511	70	16	9
33024	752	594	131	22	5
33025	692	570	96	20	6
33026	456	404	35	14	3
33027	633	535	72	14	12
33028	547	498	34	12	3
34001	413	394	7	7	5
34002	320	309	4	4	3
34003	395	374	15	4	2
34004	290	277	9	3	1
34005	333	321	3	6	3
34006	442	412	18	8	4
34007	428	408	11	6	3
34008	322	310	6	3	3
34009	265	249	6	7	3
34010	373	356	11	4	2
34011	331	316	6	6	3
34012	414	393	2	14	5
34013	373	352	8	6	7
34014	291	276	9	5	1
34015	349	329	11	5	4
34016	324	303	13	3	5
34017	485	469	6	8	2
34018	294	279	8	5	2
34019	417	395	11	7	4
34020	431	420	2	7	2
34021	457	445	5	4	3
34022	382	353	18	6	5
34023	307	292	4	8	3
34024	343	323	10	7	3
34025	582	557	6	12	7
34026	410	389	10	8	3
34027	322	298	13	4	7
34028	241	234	6	0	1
34029	305	288	11	4	2
34030	375	354	8	6	7
34031	324	307	6	9	2
34032	381	365	7	7	2
34033	313	293	14	3	3
34034	400	383	8	7	2
34035	419	393	9	11	6
34036	341	320	12	6	3
34037	226	212	6	2	6
34038	185	179	6	0	0
34039	270	258	5	4	3
34040	418	395	6	14	3
34041	235	218	7	5	5
34042	377	359	9	7	2
34043	356	338	8	6	4
34044	388	370	10	6	2
34045	411	393	7	8	3
34046	265	259	4	2	0
34047	363	350	6	5	2
34048	395	377	11	3	4
34049	362	348	8	2	4
34050	316	300	5	7	4
34051	406	379	14	7	6
34052	286	275	2	5	4
34053	235	224	4	5	2
35001	504	421	61	15	7
35002	549	458	74	14	3
35003	445	406	23	11	5
35004	470	381	67	9	13
35005	445	393	30	17	5
35006	455	390	37	19	9
35007	489	447	27	12	3
35008	520	459	40	14	7
35009	433	352	70	8	3
35010	630	567	43	15	5
35011	551	474	61	9	7
35012	309	276	21	7	5
35013	322	281	26	6	9
35014	324	281	26	11	6
35015	578	517	37	16	8
35016	263	240	14	5	4
35017	551	495	41	13	2
35018	309	278	23	6	2
35019	254	222	23	7	2
35020	421	363	41	9	8
35021	418	370	30	14	4
35022	575	492	52	22	9
35023	485	409	57	13	6
35024	436	372	48	11	5
35025	562	487	59	14	2
35026	414	339	55	13	7
35027	405	337	55	7	6
35028	466	392	57	12	5
35029	417	343	63	6	5
35030	443	376	51	11	5
35031	502	418	61	14	9
36001	365	283	63	13	6
36002	348	279	48	14	7
36003	337	279	41	5	12
36004	354	303	38	7	6
36005	349	298	41	6	4
36006	323	269	44	3	7
36007	480	295	156	16	13
36008	269	234	19	9	7
36009	339	288	33	8	10
36010	471	362	90	10	9
36011	266	223	35	6	2
36012	241	212	22	2	5
36013	260	229	21	5	5
36014	402	305	73	13	11
36015	408	296	82	14	16
36016	400	298	89	9	4
36017	452	330	108	4	10
36018	410	291	101	9	9
36019	440	364	56	8	12
36020	417	291	107	11	8
36021	298	254	30	9	5
36022	300	268	22	6	4
36023	328	273	45	6	4
36024	381	281	83	3	14
36025	368	317	34	8	9
36026	389	262	108	8	11
36027	387	298	70	8	11
36028	356	239	101	5	11
36029	414	284	103	16	11
36030	384	289	68	9	18
37001	246	215	18	4	9
37002	292	271	13	6	2
37003	264	250	6	4	4
37004	284	255	21	4	4
37005	379	355	14	7	3
37006	395	379	11	3	2
37007	265	248	7	6	4
37008	253	240	7	3	3
37009	377	367	3	4	3
37010	426	399	15	8	4
37011	240	229	9	1	1
37012	279	256	6	11	6
37013	258	243	2	8	5
37014	375	352	14	6	3
37015	361	347	4	9	1
37016	397	377	9	6	5
37017	292	284	6	1	1
37018	309	290	12	5	2
37019	253	235	10	8	0
37020	288	265	11	5	7
37021	330	300	19	6	5
37022	309	273	19	6	11
37023	319	309	4	3	3
37024	393	363	15	11	4
37025	313	298	5	8	2
37026	449	422	17	5	5
37027	321	304	5	8	4
37028	303	280	18	5	0
37029	324	304	11	5	4
37030	348	333	7	4	4
37031	363	339	11	10	3
37032	315	297	12	0	6
37033	371	351	13	3	4
37034	339	318	15	4	2
37035	363	350	5	4	4
37036	344	335	5	1	3
37037	387	364	11	10	2
37038	349	319	23	4	3
37039	328	308	12	3	5
37040	360	342	9	6	3
37041	351	321	17	7	6
38001	401	276	94	19	12
38002	473	180	274	8	11
38003	409	255	138	7	9
38004	400	227	154	7	12
38005	432	259	144	11	18
38006	417	251	147	6	13
38007	399	218	163	6	12
38008	392	238	126	11	17
38009	477	258	178	21	20
38010	347	228	96	9	14
38011	362	246	101	8	7
38012	427	196	213	6	12
38013	441	247	153	11	30
38014	458	292	142	11	13
38015	384	272	90	10	12
38016	408	253	123	13	19
38017	526	283	218	7	18
38018	469	279	160	8	22
38019	497	288	166	20	23
38020	442	234	172	15	21
38021	365	249	85	22	9
38022	416	293	101	12	10
38023	434	296	115	7	16
38024	458	242	186	14	16
38025	375	248	107	10	10
38026	441	279	139	9	14
38027	428	259	144	13	12
38028	517	282	203	14	18
38029	422	285	107	14	16
38030	429	247	157	9	16
38031	431	298	116	8	9
38032	428	292	120	10	6
38033	427	290	101	19	17
38034	438	336	85	7	10
38035	449	321	107	11	10
38036	387	252	114	9	12
38037	432	297	119	7	9
38038	407	243	138	13	13
38039	456	307	122	15	12
38040	447	281	144	17	5
38041	396	292	89	7	8
39001	478	253	198	13	14
39002	458	282	162	7	7
39003	517	378	104	20	15
39004	424	252	151	7	14
39005	467	304	135	12	16
39006	427	320	92	9	6
39007	416	306	93	13	4
39008	479	383	78	10	8
39009	427	304	100	11	12
39010	229	194	26	8	1
39011	408	292	91	11	14
39012	592	490	71	26	5
39013	388	270	94	9	15
39014	492	358	118	9	7
39015	519	273	229	7	10
39016	376	284	83	8	1
39017	494	351	118	15	10
39018	444	332	88	15	9
39019	468	336	94	17	21
39020	575	331	207	14	23
39021	434	243	166	11	14
39022	387	293	80	10	4
39023	485	263	189	21	12
39024	596	325	237	15	19
39025	394	326	53	9	6
39026	447	242	174	11	20
39027	83	43	39	1	0
39028	572	463	89	13	7
39029	255	217	26	9	3
39030	548	454	74	13	7
39031	386	317	56	6	7
39032	402	239	143	11	9
39033	516	366	134	11	5
39034	511	391	85	25	10
39035	460	347	96	12	5
39036	131	104	22	1	4
39037	469	283	164	11	11
39038	281	174	98	3	6
39039	302	206	84	9	3
39040	431	266	155	5	5
39041	498	298	169	10	21
39042	511	245	240	12	14
39043	510	283	206	6	15
39044	363	207	145	3	8
39045	459	249	191	10	9
40001	441	326	94	9	12
40002	437	347	70	14	6
40003	649	560	70	11	8
40004	291	222	58	4	7
40005	530	430	87	9	4
40006	638	553	66	16	3
40007	521	428	77	8	8
40008	682	583	77	18	4
40009	415	337	64	10	4
40010	478	392	71	10	5
40011	549	437	81	25	6
40012	465	378	68	11	8
40013	835	735	76	21	3
40014	407	306	83	13	5
40015	450	353	77	13	7
40016	718	606	88	21	3
40017	431	335	82	4	10
40018	387	334	34	12	7
40019	586	472	88	15	11
40020	507	428	57	14	8
40021	589	494	80	9	6
40022	590	506	68	13	3
40023	629	542	70	14	3
40024	414	307	83	14	10
40025	626	553	56	8	9
40026	563	504	51	5	3
40027	714	599	81	25	9
40028	567	500	48	12	7
40029	486	361	110	7	8
40030	428	302	113	7	6
40031	590	527	51	10	2
40032	594	505	75	10	4
40033	536	473	51	9	3
40034	427	329	87	7	4
40035	350	271	57	14	8
40036	506	420	71	11	4
40037	471	411	46	8	6
40038	660	564	78	12	6
40039	193	166	21	3	3
41001	434	204	206	12	12
41002	445	204	209	17	15
41003	453	236	192	9	16
41004	481	249	206	11	15
41005	564	302	213	21	28
41006	569	267	281	10	11
41007	530	256	241	16	17
41008	466	227	213	9	17
41009	469	275	177	5	12
41010	506	254	228	13	11
41011	533	258	228	13	34
41012	465	264	184	5	12
41013	561	282	244	9	26
41014	544	287	235	11	11
41015	592	316	246	13	17
41016	438	230	188	8	12
41017	471	262	180	9	20
41018	446	231	195	8	12
41019	561	279	253	12	17
41020	361	191	151	2	17
41021	518	286	206	10	16
41022	535	264	252	8	11
41023	468	195	242	7	24
41024	420	196	205	6	13
41025	376	220	135	13	8
41026	470	242	206	14	8
41027	385	211	156	6	12
41028	472	311	137	9	15
41029	333	195	120	11	7
41030	490	266	202	7	15
41031	516	266	211	14	25
41032	389	204	162	9	14
41033	459	241	196	6	16
41034	428	224	190	6	8
41035	585	285	261	16	23
41036	477	242	206	9	20
41037	547	316	206	9	16
41038	449	234	188	16	11
41039	519	259	237	10	13
41040	515	229	251	9	26
41041	500	234	247	5	14
41042	464	232	200	10	22
41043	503	262	218	6	17
41044	492	203	254	18	17
41045	453	247	178	12	16
41046	504	247	221	15	21
41047	509	254	217	19	19
42001	540	342	191	5	2
42002	669	508	146	7	8
42003	627	469	137	15	6
42004	1199	832	341	12	14
42005	540	367	159	12	2
42006	587	381	185	12	9
42007	755	484	248	10	13
42008	541	405	122	5	9
42009	724	537	152	23	12
42010	838	598	221	9	10
42011	424	237	177	8	2
42012	543	338	194	8	3
42013	523	317	181	8	17
42014	799	532	239	18	10
42015	705	469	222	9	5
42016	643	458	170	13	2
42017	853	543	286	16	8
42018	695	475	196	18	6
42019	774	474	285	9	6
42020	722	458	236	15	13
42021	668	486	163	15	4
42022	328	196	122	7	3
42023	707	430	258	10	9
42024	644	416	219	8	1
42025	643	388	230	14	11
42026	847	560	261	18	8
42027	447	312	118	11	6
42028	667	459	189	12	7
42029	672	439	215	13	5
42030	526	261	259	5	1
42031	759	458	284	9	8
42032	700	428	250	18	4
42033	696	524	158	11	3
42034	524	319	197	2	6
42035	803	594	184	10	15
42036	1027	731	265	25	6
42037	470	309	150	10	1
42038	587	395	177	11	4
42039	893	622	248	15	8
42040	859	648	198	10	3
42041	644	453	167	19	5
42042	1037	767	244	21	5
43001	317	220	93	1	3
43002	674	424	228	18	4
43003	599	378	218	2	1
43004	725	476	233	14	2
43005	544	369	162	11	2
43006	491	344	135	7	5
43007	394	282	105	7	0
43008	449	296	135	7	11
43009	616	411	186	17	2
43010	744	484	243	8	9
43011	578	364	196	14	4
43012	432	296	116	12	8
43013	572	445	107	11	9
43014	620	395	216	7	2
43015	604	401	188	11	4
43016	741	501	218	18	4
43017	487	297	181	5	4
43018	711	471	227	10	3
43019	674	467	192	9	6
43020	687	493	172	18	4
43021	681	464	186	19	12
43022	429	320	93	11	5
43023	437	308	107	18	4
43024	467	308	137	14	8
43025	490	346	127	8	9
43026	401	287	107	4	3
43027	595	391	192	7	5
43028	779	558	206	9	6
43029	577	403	161	10	3
43030	659	447	196	10	6
43031	587	414	160	3	10
43032	628	443	165	14	6
43033	613	377	230	1	5
43034	445	321	115	6	3
43035	662	424	222	9	7
43036	340	272	63	1	4
43037	670	518	127	17	8
43038	508	288	210	8	2
43039	580	408	147	17	8
43040	447	333	96	14	4
43041	796	574	208	11	3
43042	574	432	129	9	4
43043	574	358	211	4	1
43044	597	397	179	12	9
43045	363	235	120	6	2
43046	358	261	88	8	1
44001	967	783	155	21	8
44002	635	454	168	8	5
44003	400	298	93	6	3
44004	575	421	134	13	7
44005	717	606	91	14	6
44006	799	651	127	18	3
44007	459	300	148	7	4
44008	897	726	147	18	6
44009	631	471	141	15	4
44010	652	472	159	17	4
44011	711	508	185	14	4
44012	669	523	137	3	6
44013	533	355	166	8	4
44014	597	450	129	14	4
44015	575	461	99	11	4
44016	739	518	196	21	4
44017	853	684	150	15	4
44018	706	539	145	18	4
44019	781	619	145	13	4
44020	690	569	105	14	2
44021	808	658	125	23	2
44022	677	516	147	9	5
44023	635	528	77	24	6
44024	472	358	101	11	2
44025	654	467	169	14	4
44026	770	628	123	15	4
44027	780	565	190	21	4
44028	594	502	80	10	2
44029	708	524	172	7	5
44030	783	589	178	11	5
44031	552	418	115	17	2
44032	719	533	166	14	6
44033	673	594	62	15	2
44034	676	549	108	13	6
44035	774	600	149	13	12
44036	674	535	120	17	2
44037	710	583	114	9	4
44038	643	457	163	20	3
44039	695	508	173	11	3
44040	631	434	180	15	2
44041	813	665	120	20	8
45001	395	316	69	6	4
45002	463	386	59	12	6
45003	445	334	87	16	8
45004	586	428	135	14	9
45005	492	342	123	16	11
45006	651	480	143	14	14
45007	705	515	167	9	14
45008	488	360	109	11	8
45009	443	330	87	9	17
45010	473	334	116	11	12
45011	331	250	64	10	7
45012	440	322	94	15	9
45013	405	273	114	11	7
45014	577	412	131	19	15
45015	556	435	92	17	12
45016	407	294	90	14	9
45017	538	364	143	14	17
45018	482	312	137	20	13
45019	243	182	45	9	7
45020	338	235	84	7	12
45021	429	264	144	10	11
45022	424	285	116	11	12
45023	409	246	144	8	11
45024	360	227	116	9	8
45025	286	167	105	9	5
45026	252	128	107	4	13
45027	447	253	166	11	17
45028	369	242	111	10	6
45029	309	193	101	8	7
45030	393	312	66	7	8
45031	371	266	89	10	6
45032	398	271	103	18	6
45033	347	246	87	14	0
45034	455	305	126	14	10
45035	498	347	128	13	10
45036	485	305	153	18	9
45037	456	292	137	8	19
45038	419	282	117	11	9
45039	450	295	131	11	13
45040	443	260	165	8	10
45041	427	256	135	18	18
45042	430	237	160	11	22
45043	448	243	182	12	11
45044	448	259	162	14	13
45045	317	171	124	7	15
45046	336	208	108	7	13
45047	326	172	136	5	13
45048	383	193	171	9	10
46001	432	365	49	13	5
46002	547	488	40	18	1
46003	704	576	112	11	5
46004	543	476	47	15	5
46005	777	637	124	15	1
46006	488	429	44	15	0
46007	639	507	111	14	7
46008	392	336	42	10	4
46009	653	570	67	15	1
46010	947	785	137	23	2
46011	577	466	101	7	3
46012	637	572	52	11	2
46013	560	468	77	11	4
46014	546	485	45	13	3
46015	589	463	103	15	8
46016	683	604	63	11	5
46017	668	562	92	8	6
46018	644	516	101	15	12
46019	422	344	70	6	2
46020	475	416	48	9	2
46021	398	336	51	11	0
46022	449	378	43	18	10
46023	461	416	29	11	5
46024	695	577	102	10	6
46025	553	494	39	14	6
46026	663	594	50	16	3
46027	773	648	95	24	6
46028	583	464	102	8	9
46029	503	415	71	10	7
46030	623	535	66	15	7
46031	593	516	60	14	3
46032	610	523	66	17	4
46033	690	562	110	14	4
46034	686	592	75	16	3
46035	668	582	68	15	3
46036	584	447	113	12	12
46037	535	462	56	13	4
46038	625	548	58	14	5
46039	598	471	110	14	3
46040	482	403	57	18	4
47001	417	324	78	8	7
47002	626	468	149	7	2
47003	574	429	126	10	9
47004	676	518	136	14	8
47005	653	543	89	19	2
47006	738	590	127	20	1
47007	546	428	102	9	7
47008	589	448	119	15	7
47009	585	443	120	16	6
47010	764	656	75	26	7
47011	608	464	121	18	5
47012	651	530	111	9	1
47013	585	481	74	21	9
47014	553	430	104	13	6
47015	728	656	56	12	4
47016	596	477	102	12	5
47017	595	465	112	14	4
47018	592	473	104	10	5
47019	760	689	53	16	2
47020	568	476	73	16	3
47021	580	490	75	9	6
47022	624	497	103	18	6
47023	670	598	54	15	3
47024	633	504	109	18	2
47025	722	586	109	23	4
47026	780	690	71	14	5
47027	570	446	102	16	6
47028	561	437	108	10	6
47029	668	541	113	10	4
47030	733	623	80	24	6
47031	603	514	68	14	7
47032	732	619	88	20	5
47033	574	423	129	19	3
47034	625	521	92	10	2
47035	628	451	152	15	10
47036	671	573	77	16	5
47037	598	494	86	17	1
47038	612	497	103	5	7
47039	611	506	88	13	4
47040	604	497	89	14	4
47041	685	579	92	11	3
47042	626	541	68	13	4
47043	566	424	125	12	5
47044	593	447	128	17	1
47045	579	465	94	15	5
47046	598	431	149	16	2
47047	704	528	160	15	1
47048	54	43	10	0	1
48001	517	474	33	7	3
48002	275	208	57	7	3
48003	620	543	61	13	3
48004	547	489	44	11	3
48005	348	292	50	5	1
48006	678	587	72	15	4
48007	570	521	33	10	6
48008	315	239	66	6	4
48009	366	267	83	10	6
48010	820	741	68	9	2
48011	514	445	59	8	2
48012	692	604	76	6	6
48013	705	569	108	15	13
48014	290	222	61	4	3
48015	402	335	48	10	9
48016	583	523	48	10	2
48017	510	439	56	13	2
48018	382	338	32	8	4
48019	380	327	42	5	6
48020	642	572	56	9	5
48021	714	615	79	10	10
48022	496	371	107	8	10
48023	634	486	125	13	10
48024	640	488	127	16	9
48025	515	436	61	12	6
48026	278	231	37	6	4
48027	812	714	73	21	4
48028	642	474	149	11	8
48029	306	247	50	4	5
48030	505	446	38	15	6
48031	722	616	77	21	8
48032	586	513	52	17	4
48033	312	252	55	2	3
48034	495	428	55	7	5
48035	391	309	68	10	4
48036	335	271	52	8	4
48037	589	521	54	6	8
48038	578	480	80	11	7
48039	461	391	59	4	7
48040	502	438	54	8	2
48041	714	642	52	15	5
48042	662	599	45	15	3
48043	616	528	69	15	4
48044	717	658	55	3	1
48045	435	368	53	11	3
48046	390	323	59	6	2
49001	362	334	10	12	6
49002	390	353	25	7	5
49003	612	557	36	16	3
49004	698	614	54	21	9
49005	563	508	37	14	4
49006	514	466	36	5	7
49007	615	515	62	24	14
49008	453	399	43	9	2
49009	610	552	45	11	2
49010	544	480	49	10	5
49011	654	578	55	17	4
49012	769	683	60	17	9
49013	646	563	67	11	5
49014	478	414	49	11	4
49015	396	364	23	5	4
49016	548	472	59	5	12
49017	399	327	59	11	2
49018	758	685	40	29	4
49019	520	468	30	18	4
49020	807	749	35	16	7
49021	329	280	41	5	3
49022	541	478	42	11	10
49023	751	673	55	21	2
49024	465	426	24	10	5
49025	744	661	68	11	4
49026	657	558	72	18	9
49027	640	562	56	17	5
49028	753	682	46	23	2
49029	692	613	55	17	7
49030	657	564	66	19	8
49031	444	387	44	9	4
49032	540	489	34	11	6
49033	459	415	32	10	2
50001	416	224	179	8	5
50002	270	165	97	7	1
50003	388	226	149	5	8
50004	464	339	109	9	7
50005	309	143	156	3	7
50006	481	359	94	16	12
50007	481	380	83	10	8
50008	427	374	46	6	1
50009	358	266	77	9	6
50010	401	258	127	9	7
50011	306	110	189	3	4
50012	188	121	62	2	3
50013	469	404	44	16	5
50014	152	92	58	1	1
50015	485	378	84	10	13
50016	141	91	47	1	2
50017	415	299	98	11	7
50018	119	63	54	0	2
50019	267	217	43	6	1
50020	413	319	75	7	12
50021	383	294	76	6	7
50022	358	211	138	6	3
50023	284	195	75	2	12
50024	343	141	193	3	6
50025	416	231	172	6	7
50026	383	295	76	6	6
50027	131	77	49	2	3
50028	471	372	76	9	14
50029	352	296	43	7	6
50030	280	232	37	4	7
50031	523	458	44	15	6
50032	449	378	56	13	2
50033	374	159	205	4	6
50034	593	393	181	11	8
50035	541	458	71	12	0
50036	396	316	66	10	4
50037	461	369	72	13	7
50038	186	128	54	2	2
50039	261	162	86	4	9
50040	434	158	260	5	11
Barrington 1	666	240	395	13	18
Barrington 2	618	318	269	9	22
Barrington 3	743	213	510	10	10
Barrington 4	931	291	612	13	15
Barrington 5	733	188	530	4	11
Barrington 6	828	379	423	11	15
Barrington 7	236	67	156	10	3
Barrington 8	966	334	609	10	13
Barrington 9	504	209	282	3	10
Barrington 10	851	409	402	21	19
Barrington 11	489	155	311	10	13
Berwyn Ward 1 Precinct 1	379	283	82	10	4
Berwyn Ward 1 Precinct 2	412	294	92	12	14
Berwyn Ward 1 Precinct 3	646	495	121	12	18
Berwyn Ward 1 Precinct 4	400	297	83	8	12
