Precinct	total_votes	votes|André Thapedi
06004	276	276
06005	232	232
06006	371	371
06007	315	315
06009	304	304
06011	310	310
06012	253	253
06015	161	161
06018	215	215
06019	170	170
06021	182	182
06022	21	21
06023	181	181
06024	187	187
06026	221	221
06028	115	115
06030	270	270
06032	331	331
06033	337	337
06040	311	311
06047	258	258
06048	363	363
08026	0	0
15007	126	126
15022	212	212
16006	146	146
16016	241	241
16024	137	137
16029	243	243
16030	190	190
16033	157	157
17001	129	129
17003	305	305
17008	131	131
17011	53	53
17013	263	263
17017	269	269
17019	170	170
17030	150	150
17031	191	191
17032	78	78
17033	199	199
17034	75	75
17035	213	213
17036	289	289
17037	46	46
18001	305	305
18002	293	293
18003	279	279
18005	218	218
18006	119	119
18011	290	290
18012	35	35
18015	19	19
18017	323	323
18021	272	272
18023	338	338
18024	308	308
18025	316	316
18027	273	273
18028	278	278
18029	311	311
18030	358	358
18031	357	357
18033	226	226
18039	253	253
18040	368	368
18042	294	294
18043	9	9
18044	246	246
18045	300	300
18046	143	143
18047	261	261
18048	285	285
18049	211	211
18050	156	156
20008	78	78
20028	204	204
Lyons 13	192	192
Lyons 38	180	180
Lyons 70	354	354
Lyons 74	181	181
Lyons 77	252	252
Palos 6	184	184
Palos 17	414	414
Palos 18	403	403
Palos 20	371	371
Palos 25	322	322
Palos 27	366	366
Stickney 5	430	430
Stickney 9	171	171
Stickney 11	380	380
Stickney 12	196	196
Stickney 14	419	419
Stickney 15	407	407
Worth 1	1	1
Worth 74	198	198
Worth 86	357	357
