Precinct	total_votes	votes|Mary E. Flowers	votes|Willie Preston
06010	115	82	33
06017	131	115	16
06019	49	41	8
06020	111	98	13
06022	114	94	20
06025	106	84	22
06026	17	14	3
06027	101	81	20
17002	171	133	38
17004	256	210	46
17005	149	128	21
17009	152	116	36
17010	253	212	41
17011	100	86	14
17015	188	157	31
17018	218	186	32
17020	275	234	41
17021	42	35	7
17022	170	136	34
17023	128	108	20
17024	222	189	33
17026	204	178	26
17027	192	171	21
17028	144	109	35
17029	170	139	31
17032	118	98	20
17034	96	84	12
17037	129	109	20
17038	169	144	25
17039	190	157	33
17040	232	203	29
17041	256	200	56
18004	258	210	48
18006	83	72	11
18007	177	158	19
18008	217	182	35
18009	102	79	23
18010	316	257	59
18012	119	101	18
18013	229	187	42
18014	220	186	34
18016	200	166	34
18018	213	179	34
18019	225	188	37
18020	176	144	32
18021	85	64	21
18022	285	238	47
18026	212	168	44
18029	4	3	1
18032	13	10	3
18033	31	29	2
18035	289	222	67
18036	200	173	27
18037	253	200	53
18038	210	173	37
18041	257	212	45
21002	98	76	22
21004	205	177	28
21013	27	22	5
21015	128	97	31
21017	5	4	1
21020	119	99	20
21026	175	146	29
21028	260	213	47
21030	175	147	28
21034	155	124	31
21043	193	162	31
21044	71	56	15
21047	170	142	28
21051	215	180	35
21052	192	158	34
21053	82	63	19
21054	198	175	23
Lyons 5	194	151	43
Lyons 23	229	173	56
Lyons 25	79	64	15
Lyons 28	60	40	20
Lyons 49	143	122	21
Lyons 52	220	182	38
Lyons 53	176	147	29
Lyons 54	47	43	4
Lyons 61	192	178	14
Lyons 73	209	187	22
Lyons 76	107	89	18
Lyons 78	123	109	14
Palos 4	116	96	20
Palos 5	127	108	19
Palos 19	216	187	29
Palos 23	98	78	20
Palos 27	6	5	1
Palos 28	130	101	29
Palos 31	182	153	29
Palos 38	174	144	30
Stickney 9	0	0	0
Worth 1	96	82	14
Worth 2	203	165	38
Worth 21	268	222	46
Worth 25	62	44	18
Worth 26	135	106	29
Worth 30	203	174	29
Worth 33	20	14	6
Worth 40	33	24	9
Worth 44	114	95	19
Worth 47	103	85	18
Worth 53	218	186	32
Worth 58	108	86	22
Worth 66	127	111	16
Worth 76	92	69	23
Worth 82	185	162	23
Worth 83	76	59	17
Worth 94	223	184	39
Worth 99	102	79	23
