Precinct	total_votes	votes|Michael J. Madigan
11001	139	139
11004	152	152
11005	180	180
11008	128	128
11009	125	125
11010	148	148
11011	142	142
11012	235	235
11013	191	191
11015	59	59
11016	96	96
11017	175	175
11018	131	131
11019	175	175
11020	114	114
11021	233	233
11022	161	161
11023	114	114
11024	244	244
11025	171	171
11026	190	190
11027	53	53
11028	69	69
11029	224	224
11031	161	161
11032	94	94
11037	0	0
12001	141	141
12003	153	153
12004	167	167
12005	50	50
12008	3	3
12009	111	111
12019	117	117
12023	146	146
13001	158	158
13002	172	172
13003	131	131
13004	171	171
13005	201	201
13006	178	178
13007	133	133
13008	126	126
13009	128	128
13010	151	151
13011	180	180
13012	145	145
13013	194	194
13014	137	137
13015	280	280
13016	101	101
13017	139	139
13018	128	128
13020	104	104
13021	171	171
13022	178	178
13023	129	129
13024	173	173
13025	151	151
13026	146	146
13027	172	172
13028	147	147
13029	133	133
13030	156	156
13031	181	181
13032	135	135
13033	179	179
13034	281	281
13035	202	202
13036	99	99
13037	209	209
13038	155	155
13039	177	177
13040	182	182
13041	144	144
13042	162	162
13043	193	193
13044	227	227
13045	226	226
13046	210	210
13047	184	184
13048	163	163
14001	166	166
14004	150	150
14005	10	10
14007	151	151
14008	130	130
14009	172	172
14012	162	162
14018	74	74
14021	140	140
14022	174	174
14023	120	120
14024	183	183
14025	0	0
14026	117	117
14029	120	120
15001	126	126
15005	38	38
15008	50	50
15013	106	106
15014	89	89
15015	57	57
15016	140	140
15019	124	124
16001	75	75
16007	4	4
16023	88	88
16032	112	112
16035	42	42
18015	163	163
18024	121	121
18025	134	134
18030	123	123
18040	165	165
18043	96	96
18046	162	162
19001	138	138
19002	31	31
19003	80	80
19004	149	149
19005	59	59
19006	140	140
19007	135	135
19008	129	129
19009	122	122
19010	140	140
19011	105	105
19012	105	105
19015	151	151
19016	144	144
19017	120	120
19018	124	124
19019	180	180
19021	101	101
19022	146	146
19023	146	146
19024	101	101
19025	98	98
19026	127	127
19029	117	117
19030	120	120
19032	130	130
19033	123	123
19034	125	125
19035	162	162
19041	104	104
19044	121	121
19045	137	137
19046	155	155
19050	104	104
19051	176	176
19052	138	138
19053	140	140
19054	82	82
19055	97	97
19056	167	167
19057	122	122
20004	14	14
20015	62	62
20020	1	1
22001	93	93
22002	177	177
22008	175	175
22012	134	134
22023	192	192
23001	137	137
23002	127	127
23003	129	129
23004	157	157
23005	143	143
23006	129	129
23007	120	120
23008	163	163
23009	60	60
23010	176	176
23011	152	152
23012	118	118
23014	116	116
23015	100	100
23016	140	140
23017	47	47
23018	109	109
23019	81	81
23020	70	70
23021	130	130
23022	131	131
23023	126	126
23025	123	123
23026	136	136
23027	107	107
23028	133	133
23029	130	130
23030	173	173
23031	55	55
23032	138	138
23033	140	140
23034	74	74
23035	83	83
23036	122	122
23037	122	122
23038	112	112
23039	8	8
