Precinct	total_votes	votes|Janice D. Schakowsky	votes|John D. Elleson
40004	285	241	44
40009	405	351	54
40010	348	310	38
40018	378	341	37
40022	586	546	40
40025	114	110	4
40026	565	526	39
40027	706	623	83
40028	569	515	54
40031	507	473	34
40033	529	495	34
40035	340	285	55
40036	493	438	55
40037	469	428	41
40039	187	164	23
41001	423	227	196
41002	436	217	219
41004	478	299	179
41005	546	346	200
41007	523	308	215
41008	467	269	198
41010	497	308	189
41011	376	197	179
41013	546	314	232
41015	586	356	230
41017	85	49	36
41018	440	272	168
41020	353	208	145
41023	252	108	144
41025	355	231	124
41028	468	334	134
41029	324	214	110
41031	503	323	180
41033	82	54	28
41034	418	251	167
41036	471	295	176
41037	530	344	186
41040	500	251	249
41041	495	275	220
41042	446	257	189
41043	490	305	185
41044	483	230	253
41045	258	163	95
44003	398	334	64
44004	566	462	104
44007	458	356	102
44024	472	397	75
44035	764	651	113
46001	418	377	41
46002	542	510	32
46004	541	504	37
46005	16	12	4
46006	495	462	33
46007	637	540	97
46008	385	343	42
46009	650	604	46
46011	572	493	79
46012	532	494	38
46013	566	511	55
46014	525	480	45
46015	582	505	77
46016	387	359	28
46017	662	577	85
46018	645	555	90
46020	467	433	34
46021	391	338	53
46022	442	402	40
46023	458	433	25
46024	506	441	65
46025	546	521	25
46026	662	620	42
46027	760	686	74
46029	493	432	61
46032	572	507	65
46034	675	619	56
46035	649	597	52
46037	519	470	49
46038	81	73	8
46040	488	449	39
47015	735	696	39
47019	758	723	35
47023	658	619	39
47030	379	353	26
48001	522	495	27
48002	276	239	37
48003	618	561	57
48004	550	516	34
48005	343	303	40
48006	675	615	60
48007	570	540	30
48008	314	267	47
48009	359	290	69
48010	816	767	49
48011	518	477	41
48012	689	637	52
48013	703	612	91
48014	289	246	43
48015	391	351	40
48016	588	540	48
48017	508	462	46
48018	387	350	37
48019	379	351	28
48020	654	609	45
48021	713	640	73
48022	494	422	72
48023	622	525	97
48024	638	509	129
48025	519	478	41
48026	272	245	27
48027	798	745	53
48028	634	497	137
48029	298	269	29
48030	501	464	37
48031	712	638	74
48032	587	537	50
48033	312	266	46
48034	496	460	36
48035	387	320	67
48036	332	283	49
48037	589	556	33
48038	580	518	62
48039	456	394	62
48040	503	465	38
48041	713	664	49
48042	665	628	37
48043	613	563	50
48044	714	685	29
48045	432	400	32
48046	383	338	45
49001	351	335	16
49002	385	361	24
49003	611	582	29
49004	694	647	47
49005	556	528	28
49006	517	476	41
49007	618	549	69
49008	454	424	30
49009	607	565	42
49010	547	503	44
49011	647	603	44
49012	764	719	45
49013	642	592	50
49014	482	438	44
49015	397	368	29
49016	545	496	49
49017	394	341	53
49018	751	717	34
49019	513	482	31
49020	812	765	47
49021	325	295	30
49022	549	495	54
49023	746	701	45
49024	456	427	29
49025	744	691	53
49026	651	585	66
49027	646	602	44
49028	756	719	37
49029	696	638	58
49030	653	592	61
49031	441	402	39
49032	541	515	26
49033	456	431	25
50001	405	243	162
50002	270	170	100
50003	390	239	151
50004	461	360	101
50005	302	156	146
50006	473	377	96
50007	476	419	57
50008	430	389	41
50009	355	283	72
50010	378	264	114
50011	286	116	170
50012	179	131	48
50013	455	416	39
50014	152	100	52
50015	483	417	66
50016	139	86	53
50017	410	298	112
50018	112	62	50
50019	256	214	42
50020	401	331	70
50021	379	315	64
50022	353	233	120
50023	275	196	79
50025	377	221	156
50026	383	306	77
50027	126	81	45
50028	445	373	72
50029	355	314	41
50030	276	245	31
50031	516	471	45
50032	447	412	35
50033	358	169	189
50034	590	433	157
50035	535	483	52
50036	390	321	69
50037	456	392	64
50038	187	137	50
50039	257	166	91
50040	435	180	255
