Precinct	total_votes	votes|Bobby L. Rush	votes|Jimmy Lee Tillman, Ii	votes|Thomas Rudbeck
03002	17	15	0	2
03004	265	249	6	10
03007	331	315	7	9
03012	49	43	1	5
03018	247	217	14	16
03023	253	236	13	4
03029	0	0	0	0
03030	326	307	8	11
03031	22	20	0	2
03035	92	86	1	5
03038	402	390	4	8
03041	357	302	29	26
04001	797	696	43	58
04003	427	416	2	9
04004	40	38	1	1
04008	508	461	5	42
04009	596	550	14	32
04011	211	183	11	17
04012	591	545	9	37
04014	442	412	13	17
04015	461	441	9	11
04018	513	475	15	23
04019	408	384	8	16
04022	544	440	25	79
04023	715	588	26	101
04024	504	423	20	61
04026	508	476	13	19
04027	704	626	19	59
04028	129	120	4	5
04029	315	302	3	10
04030	645	608	14	23
04031	543	496	23	24
04032	585	524	18	43
04033	540	481	21	38
04036	305	271	12	22
04038	567	515	14	38
05002	335	318	7	10
05003	582	518	24	40
05004	691	621	18	52
05005	446	402	10	34
05007	539	482	22	35
05008	549	442	37	70
05009	611	545	20	46
05010	320	298	7	15
05011	218	193	15	10
05012	329	310	12	7
05013	415	393	10	12
05015	473	416	27	30
05016	465	437	9	19
05017	416	389	10	17
05018	309	280	9	20
05019	482	393	30	59
05020	589	541	20	28
05021	575	502	21	52
05022	577	477	44	56
05024	581	511	26	44
05025	54	51	1	2
05027	614	507	44	63
05030	332	313	5	14
05033	543	511	4	28
05034	604	506	36	62
05035	519	435	31	53
05039	424	351	34	39
06001	443	422	5	16
06002	424	396	8	20
06003	450	425	8	17
06004	311	298	6	7
06005	263	257	2	4
06006	426	398	11	17
06007	362	345	4	13
06008	388	366	7	15
06009	357	337	8	12
06010	235	218	11	6
06011	354	338	5	11
06012	286	266	6	14
06013	314	300	6	8
06014	370	348	6	16
06015	344	329	10	5
06016	413	391	10	12
06017	266	253	5	8
06018	293	281	7	5
06019	363	349	2	12
06020	235	222	9	4
06021	12	11	0	1
06022	239	231	7	1
06023	220	208	2	10
06024	205	198	4	3
06025	208	198	7	3
06026	295	283	4	8
06027	230	221	5	4
06028	195	188	3	4
06029	428	415	5	8
06030	320	298	6	16
06031	408	383	8	17
06032	366	344	10	12
06033	396	361	20	15
06034	402	384	3	15
06035	356	339	5	12
06036	469	449	7	13
06037	407	372	10	25
06038	419	387	12	20
06039	326	304	10	12
06040	368	351	4	13
06041	392	371	5	16
06042	409	384	10	15
06043	358	341	6	11
06044	397	376	10	11
06045	418	393	6	19
06046	270	252	6	12
06047	288	271	9	8
06048	421	395	10	16
07001	150	147	2	1
08001	351	326	12	13
08002	364	346	7	11
08003	444	421	4	19
08004	156	153	1	2
08005	417	392	9	16
08006	406	382	8	16
08008	392	372	5	15
08010	499	476	10	13
08011	333	319	8	6
08012	349	332	5	12
08013	451	428	9	14
08014	285	273	4	8
08015	354	334	7	13
08016	121	114	5	2
08018	372	356	9	7
08019	426	406	10	10
08020	449	432	7	10
08021	494	469	10	15
08022	362	350	2	10
08023	338	327	5	6
08024	243	229	6	8
08025	389	363	10	16
08026	372	346	5	21
08027	84	79	3	2
08029	452	417	10	25
08030	415	387	11	17
08031	296	276	9	11
08033	377	356	6	15
08034	374	355	6	13
08035	431	406	6	19
08037	330	311	7	12
08038	266	258	3	5
08040	307	292	7	8
08041	455	440	7	8
08043	224	211	6	7
08044	272	257	5	10
08045	388	364	10	14
08047	326	309	7	10
08048	367	349	3	15
08049	353	332	5	16
08050	239	226	4	9
08051	432	409	4	19
08052	489	467	4	18
08054	323	313	5	5
08055	320	302	5	13
08056	398	387	4	7
09012	426	407	9	10
09023	433	415	6	12
09024	382	362	10	10
09025	370	351	8	11
09036	306	295	6	5
09042	376	357	8	11
09047	386	371	5	10
09048	426	397	13	16
09049	399	376	6	17
09050	483	460	11	12
09051	361	344	9	8
13019	365	327	16	22
13041	64	59	3	2
16006	0	0	0	0
16009	272	255	6	11
16027	3	3	0	0
16028	252	242	4	6
16030	235	219	3	13
16031	56	55	0	1
16034	49	47	1	1
17001	340	303	18	19
17002	351	335	7	9
17003	348	326	11	11
17004	433	417	6	10
17005	260	247	5	8
17006	122	117	3	2
17008	280	270	5	5
17009	275	268	2	5
17010	458	435	4	19
17011	269	260	4	5
17012	51	50	1	0
17013	0	0	0	0
17015	369	355	4	10
17016	248	229	8	11
17017	323	298	13	12
17018	382	369	6	7
17020	431	420	1	10
17021	454	433	11	10
17022	302	282	7	13
17023	231	220	6	5
17024	366	353	4	9
17025	251	237	8	6
17026	362	351	7	4
17027	333	316	6	11
17028	276	269	3	4
17029	351	335	7	9
17030	263	234	20	9
17032	271	267	3	1
17033	75	71	2	2
17034	263	257	2	4
17035	99	96	0	3
17036	273	266	3	4
17037	298	286	5	7
17038	327	313	4	10
17039	334	318	7	9
17040	351	340	6	5
17041	424	406	10	8
18001	334	316	10	8
18002	346	283	49	14
18003	334	238	70	26
18004	399	374	13	12
18005	241	235	4	2
18006	319	212	76	31
18007	364	310	30	24
18008	382	357	10	15
18009	372	349	12	11
18010	487	460	10	17
18011	322	285	24	13
18012	380	356	17	7
18013	398	373	11	14
18014	405	385	3	17
18015	19	15	4	0
18016	362	339	12	11
18017	364	323	25	16
18018	317	311	4	2
18019	366	349	10	7
18020	303	292	4	7
18021	458	414	14	30
18022	458	431	16	11
18023	377	339	15	23
18026	456	428	14	14
18027	312	294	13	5
18028	355	237	95	23
18029	407	347	36	24
18031	397	375	12	10
18032	383	362	7	14
18033	302	294	4	4
18034	451	414	23	14
18035	450	416	15	19
18036	407	346	42	19
18037	439	404	11	24
18038	361	344	3	14
18039	286	269	9	8
18041	440	406	19	15
18042	332	304	9	19
18044	329	214	84	31
18045	332	287	26	19
18047	283	268	7	8
18048	313	292	10	11
18049	228	211	7	10
18050	297	277	9	11
19002	530	435	52	43
19005	316	224	52	40
19010	52	36	10	6
19011	29	17	10	2
19013	513	463	20	30
19014	507	373	83	51
19020	364	318	22	24
19025	71	55	9	7
19027	455	366	49	40
19028	493	440	17	36
19031	402	238	105	59
19036	610	502	46	62
19037	424	335	45	44
19038	385	304	29	52
19039	170	151	14	5
19040	460	322	81	57
19042	381	283	51	47
19043	587	547	15	25
19047	606	504	65	37
19048	508	489	12	7
19049	520	444	33	43
19057	39	25	9	5
20001	366	349	7	10
20003	323	306	6	11
20005	438	410	9	19
20007	397	373	9	15
20008	359	336	7	16
20009	539	495	6	38
20010	256	247	4	5
20011	191	183	1	7
20012	302	291	5	6
20013	406	389	7	10
20014	191	181	2	8
20016	436	402	17	17
20018	255	244	2	9
20019	384	368	5	11
20022	474	417	14	43
20023	411	384	11	16
20024	439	383	18	38
20026	407	373	11	23
20027	106	100	2	4
20028	234	222	4	8
20029	447	422	10	15
20030	0	0	0	0
20031	128	124	2	2
20033	227	214	6	7
20034	630	553	15	62
20035	268	253	5	10
20037	109	107	0	2
21001	420	392	7	21
21002	285	269	6	10
21003	417	398	4	15
21004	363	349	4	10
21005	421	399	7	15
21006	318	307	4	7
21007	381	371	4	6
21008	394	374	13	7
