Precinct	total_votes	votes|Elgie R. Sims, Jr.
06001	214	214
06002	206	206
06003	224	224
06008	185	185
06013	142	142
06014	170	170
06016	211	211
06019	28	28
06029	245	245
06031	251	251
06034	203	203
06035	182	182
06036	253	253
06037	243	243
06038	211	211
06039	143	143
06041	203	203
06042	157	157
06043	155	155
06044	155	155
06045	186	186
06046	113	113
08015	18	18
08022	186	186
08026	99	99
08031	152	152
08032	147	147
08034	191	191
08039	194	194
08043	68	68
08045	55	55
08047	159	159
08054	5	5
09001	136	136
09007	3	3
09008	168	168
09009	153	153
09012	228	228
09013	171	171
09023	228	228
09024	195	195
09025	188	188
09028	12	12
09031	14	14
09036	146	146
09037	259	259
09038	81	81
09042	202	202
09043	69	69
09046	183	183
09047	222	222
09048	198	198
09049	177	177
09050	295	295
09051	213	213
10013	6	6
10016	0	0
17021	189	189
21031	153	153
21053	73	73
