Precinct	total_votes	votes|Donne E. Trotter
06001	234	234
06002	206	206
06003	221	221
06008	189	189
06013	139	139
06014	185	185
06016	227	227
06019	28	28
06029	250	250
06031	254	254
06034	214	214
06035	186	186
06036	248	248
06037	251	251
06038	230	230
06039	141	141
06041	209	209
06042	162	162
06043	168	168
06044	164	164
06045	200	200
06046	113	113
07026	168	168
07027	178	178
07028	99	99
07029	154	154
07030	113	113
07032	144	144
07036	257	257
07037	17	17
07038	164	164
07039	177	177
07040	168	168
07041	177	177
07042	180	180
07043	186	186
07044	136	136
07045	144	144
08003	257	257
08004	252	252
08005	260	260
08006	218	218
08007	269	269
08008	246	246
08010	319	319
08011	167	167
08012	155	155
08014	101	101
08015	168	168
08017	204	204
08018	135	135
08019	266	266
08022	189	189
08023	163	163
08024	151	151
08025	173	173
08026	98	98
08027	249	249
08029	242	242
08030	205	205
08031	153	153
08032	157	157
08033	180	180
08034	199	199
08035	222	222
08036	233	233
08037	197	197
08038	114	114
08039	208	208
08040	162	162
08041	202	202
08043	72	72
08044	120	120
08045	147	147
08046	154	154
08047	168	168
08048	163	163
08049	190	190
08050	217	217
08051	234	234
08052	299	299
08053	109	109
08054	18	18
08056	236	236
09001	138	138
09007	3	3
09008	167	167
09009	153	153
09012	247	247
09013	173	173
09023	244	244
09024	199	199
09025	188	188
09028	12	12
09031	14	14
09036	155	155
09037	265	265
09038	79	79
09042	208	208
09043	74	74
09046	186	186
09047	227	227
09048	199	199
09049	182	182
09050	292	292
09051	219	219
10002	147	147
10003	129	129
10005	95	95
10009	105	105
10013	132	132
10014	0	0
10015	384	384
10016	91	91
10017	172	172
10021	1	1
10023	0	0
10024	113	113
10027	6	6
10033	0	0
17021	210	210
21031	155	155
21053	75	75
