Precinct	total_votes	votes|Carol Ronen
40004	106	106
40009	129	129
40010	108	108
40018	134	134
40022	230	230
40025	48	48
40026	239	239
40027	276	276
40028	251	251
40031	191	191
40033	277	277
40035	117	117
40036	201	201
40037	190	190
40039	46	46
41001	126	126
41002	141	141
41004	176	176
41005	157	157
41007	163	163
41008	157	157
41010	205	205
41011	106	106
41013	138	138
41015	188	188
41017	24	24
41018	132	132
41020	125	125
41023	52	52
41025	76	76
41028	115	115
41029	76	76
41031	192	192
41033	21	21
41034	140	140
41036	160	160
41037	171	171
41040	174	174
41041	116	116
41042	137	137
41043	135	135
41044	149	149
41045	70	70
44003	188	188
44004	204	204
44007	163	163
44024	175	175
44035	286	286
46001	177	177
46002	201	201
46004	205	205
46005	2	2
46006	159	159
46007	266	266
46008	150	150
46009	242	242
46011	173	173
46012	219	219
46013	196	196
46014	216	216
46015	209	209
46016	145	145
46017	267	267
46018	232	232
46020	172	172
46021	131	131
46022	122	122
46023	168	168
46024	172	172
46025	192	192
46026	221	221
46027	263	263
46029	187	187
46032	199	199
46034	221	221
46035	193	193
46037	168	168
46038	30	30
46040	219	219
47015	343	343
47019	309	309
47023	301	301
47030	155	155
48001	248	248
48002	125	125
48003	250	250
48004	239	239
48005	171	171
48006	295	295
48007	257	257
48008	151	151
48009	163	163
48010	368	368
48011	249	249
48012	297	297
48013	318	318
48014	135	135
48015	129	129
48016	233	233
48017	235	235
48018	183	183
48019	232	232
48020	325	325
48021	260	260
48022	285	285
48023	276	276
48024	223	223
48025	273	273
48026	105	105
48027	254	254
48028	239	239
48029	175	175
48030	247	247
48031	261	261
48032	225	225
48033	177	177
48034	212	212
48035	152	152
48036	173	173
48037	238	238
48038	314	314
48039	204	204
48040	245	245
48041	241	241
48042	337	337
48043	243	243
48044	319	319
48045	213	213
48046	161	161
49001	136	136
49002	157	157
49003	264	264
49004	276	276
49005	280	280
49006	221	221
49007	229	229
49008	172	172
49009	237	237
49010	270	270
49011	311	311
49012	330	330
49013	295	295
49014	211	211
49015	164	164
49016	249	249
49017	127	127
49018	328	328
49019	178	178
49020	371	371
49021	130	130
49022	264	264
49023	302	302
49024	164	164
49025	299	299
49026	260	260
49027	257	257
49028	314	314
49029	296	296
49030	301	301
49031	192	192
49032	240	240
49033	193	193
50001	140	140
50002	101	101
50003	144	144
50004	185	185
50005	96	96
50006	203	203
50007	257	257
50008	143	143
50009	147	147
50010	102	102
50011	101	101
50012	79	79
50013	137	137
50014	42	42
50015	235	235
50016	53	53
50017	97	97
50018	39	39
50019	95	95
50020	162	162
50021	141	141
50022	115	115
50023	85	85
50025	111	111
50026	129	129
50027	52	52
50028	136	136
50029	95	95
50030	90	90
50031	166	166
50032	150	150
50033	137	137
50034	229	229
50035	244	244
50036	170	170
50037	185	185
50038	81	81
50039	75	75
50040	133	133
