Precinct	total_votes	votes|Bobby L. Rush
03002	29	29
03004	142	142
03007	217	217
03012	20	20
03018	123	123
03023	37	37
03029	0	0
03030	112	112
03031	16	16
03035	78	78
03038	273	273
03041	216	216
04001	294	294
04003	228	228
04004	35	35
04008	285	285
04009	364	364
04011	87	87
04012	274	274
04014	244	244
04015	229	229
04018	281	281
04019	175	175
04022	224	224
04023	334	334
04024	231	231
04026	257	257
04027	294	294
04028	68	68
04029	156	156
04030	273	273
04031	330	330
04032	285	285
04033	257	257
04036	153	153
04038	294	294
05002	152	152
05003	210	210
05004	295	295
05005	219	219
05007	249	249
05008	224	224
05009	293	293
05010	160	160
05011	102	102
05012	160	160
05013	189	189
05015	207	207
05016	201	201
05017	202	202
05018	149	149
05019	225	225
05020	287	287
05021	230	230
05022	284	284
05024	255	255
05025	57	57
05027	176	176
05030	170	170
05033	278	278
05034	211	211
05035	217	217
05039	185	185
06001	242	242
06002	218	218
06003	242	242
06004	138	138
06005	109	109
06006	220	220
06007	198	198
06008	208	208
06009	159	159
06010	114	114
06011	168	168
06012	131	131
06013	151	151
06014	199	199
06015	137	137
06016	248	248
06017	129	129
06018	125	125
06019	176	176
06020	107	107
06021	4	4
06022	115	115
06023	84	84
06024	111	111
06025	107	107
06026	130	130
06027	98	98
06028	97	97
06029	264	264
06030	142	142
06031	267	267
06032	204	204
06033	211	211
06034	221	221
06035	205	205
06036	273	273
06037	252	252
06038	234	234
06039	167	167
06040	173	173
06041	213	213
06042	177	177
06043	184	184
06044	179	179
06045	218	218
06046	116	116
06047	158	158
06048	201	201
07001	158	158
08001	172	172
08002	170	170
08003	277	277
08004	92	92
08005	270	270
08006	224	224
08008	249	249
08010	329	329
08011	183	183
08012	171	171
08013	226	226
08014	120	120
08015	181	181
08016	52	52
08018	153	153
08019	278	278
08020	265	265
08021	261	261
08022	201	201
08023	177	177
08024	156	156
08025	173	173
08026	198	198
08027	52	52
08029	266	266
08030	215	215
08031	158	158
08033	210	210
08034	210	210
08035	234	234
08037	209	209
08038	132	132
08040	167	167
08041	213	213
08043	95	95
08044	133	133
08045	167	167
08047	173	173
08048	178	178
08049	183	183
08050	127	127
08051	247	247
08052	302	302
08054	136	136
08055	198	198
08056	245	245
09012	244	244
09023	259	259
09024	215	215
09025	200	200
09036	174	174
09042	220	220
09047	242	242
09048	216	216
09049	198	198
09050	306	306
09051	220	220
13019	122	122
13041	30	30
16006	0	0
16009	143	143
16027	9	9
16028	143	143
16030	106	106
16031	35	35
16034	29	29
17001	133	133
17002	155	155
17003	166	166
17004	234	234
17005	134	134
17006	58	58
17008	122	122
17009	145	145
17010	240	240
17011	133	133
17012	27	27
17013	0	0
17015	185	185
17016	95	95
17017	152	152
17018	204	204
17020	259	259
17021	257	257
17022	155	155
17023	113	113
17024	204	204
17025	122	122
17026	182	182
17027	177	177
17028	131	131
17029	150	150
17030	87	87
17032	133	133
17033	47	47
17034	135	135
17035	20	20
17036	138	138
17037	150	150
17038	152	152
17039	161	161
17040	205	205
17041	235	235
18001	139	139
18002	118	118
18003	110	110
18004	236	236
18005	121	121
18006	129	129
18007	160	160
18008	195	195
18009	231	231
18010	280	280
18011	150	150
18012	184	184
18013	225	225
18014	199	199
18015	2	2
18016	177	177
18017	179	179
18018	195	195
18019	221	221
18020	156	156
18021	251	251
18022	249	249
18023	164	164
18026	261	261
18027	142	142
18028	125	125
18029	191	191
18031	188	188
18032	211	211
18033	160	160
18034	259	259
18035	247	247
18036	178	178
18037	230	230
18038	193	193
18039	146	146
18041	230	230
18042	135	135
18044	128	128
18045	132	132
18047	134	134
18048	158	158
18049	117	117
18050	131	131
19002	262	262
19005	178	178
19010	38	38
19011	8	8
19013	327	327
19014	229	229
19020	243	243
19025	65	65
19027	235	235
19028	287	287
19031	170	170
19036	298	298
19037	243	243
19038	214	214
19039	65	65
19040	213	213
19042	165	165
19043	331	331
19047	363	363
19048	267	267
19049	317	317
19057	24	24
20001	199	199
20003	155	155
20005	207	207
20007	157	157
20008	196	196
20009	253	253
20010	148	148
20011	60	60
20012	115	115
20013	206	206
20014	115	115
20016	195	195
20018	131	131
20019	149	149
20022	252	252
20023	178	178
20024	178	178
20026	211	211
20027	67	67
20028	125	125
20029	251	251
20030	2	2
20031	44	44
20033	146	146
20034	227	227
20035	75	75
20037	63	63
21001	222	222
21002	139	139
21003	231	231
21004	199	199
21005	238	238
21006	157	157
21007	220	220
21008	219	219
21009	234	234
21010	177	177
21011	182	182
21012	166	166
21013	197	197
21014	266	266
21015	172	172
21016	189	189
21017	163	163
21018	223	223
21019	221	221
21020	159	159
21021	185	185
21022	187	187
21023	179	179
21024	222	222
21025	199	199
21026	181	181
21027	173	173
21028	235	235
21029	222	222
21030	167	167
21031	163	163
21032	194	194
21033	171	171
21034	176	176
21035	247	247
21036	193	193
21037	174	174
21038	180	180
21039	137	137
21040	184	184
21041	193	193
21042	230	230
21043	199	199
21044	208	208
21045	163	163
21046	221	221
21047	164	164
21048	184	184
21049	235	235
21050	167	167
21051	200	200
21052	197	197
21053	153	153
21054	192	192
34001	234	234
34002	144	144
34003	176	176
34005	178	178
34006	221	221
34007	231	231
34008	159	159
34009	142	142
34010	215	215
34011	138	138
34012	187	187
34013	203	203
34014	148	148
34015	147	147
34016	163	163
34017	256	256
34019	190	190
34020	249	249
34021	263	263
34022	57	57
34025	316	316
34026	228	228
34029	155	155
34030	76	76
34031	155	155
34032	172	172
34033	157	157
34034	224	224
34035	205	205
