Precinct	total_votes	votes|Ram Villivalam	votes|Ira I. Silverstein	votes|David A. Zulkey	votes|Caroline Mcateer-Fournier
33002	138	72	30	8	28
33007	54	12	13	11	18
35030	37	4	18	3	12
39001	240	122	35	24	59
39002	195	86	42	29	38
39004	230	103	54	20	53
39005	199	121	41	15	22
39006	214	131	44	8	31
39007	171	101	43	7	20
39008	214	132	49	7	26
39009	180	100	39	15	26
39010	117	71	30	3	13
39011	172	99	40	12	21
39012	123	70	30	7	16
39013	151	85	41	4	21
39014	170	110	34	4	22
39015	214	79	32	63	40
39016	136	62	41	13	20
39017	245	163	37	11	34
39018	244	141	69	7	27
39019	221	127	49	11	34
39024	22	10	8	1	3
39025	29	14	6	3	6
39026	203	85	41	13	64
39027	59	30	13	6	10
39029	116	35	36	11	34
39030	183	119	34	4	26
39031	24	12	3	1	8
39032	204	100	73	13	18
39033	241	128	83	5	25
39035	203	126	54	5	18
39036	62	28	19	2	13
39037	275	127	50	35	63
39038	157	79	33	8	37
39039	132	68	25	6	33
39040	190	89	27	24	50
39041	222	127	42	21	32
39042	283	108	39	82	54
39043	242	143	47	17	35
39044	169	90	27	15	37
39045	219	117	33	28	41
40004	116	74	26	4	12
40010	138	64	52	8	14
40029	0	0	0	0	0
40035	0	0	0	0	0
40039	49	15	18	5	11
41006	278	131	52	41	54
41009	187	94	37	16	40
41014	254	134	63	8	49
41019	260	150	48	21	41
41032	155	69	32	16	38
41039	236	93	58	34	51
41047	227	107	48	20	52
45032	17	5	4	3	5
50001	251	90	145	4	12
50002	145	52	84	4	5
50003	235	73	148	4	10
50004	239	132	85	3	19
50005	181	50	126	2	3
50006	255	125	88	7	35
50007	296	196	55	8	37
50008	29	13	9	4	3
50009	191	93	81	5	12
50010	177	58	109	6	4
50011	207	31	169	2	5
50012	119	49	58	2	10
50013	173	80	56	8	29
50014	75	15	50	2	8
50015	296	199	59	9	29
50016	86	19	57	3	7
50017	162	47	96	6	13
50018	94	4	86	1	3
50019	122	67	37	7	11
50020	212	125	60	3	24
50021	192	107	61	6	18
50022	179	49	121	2	7
50023	120	46	58	1	15
50024	232	37	187	0	8
50025	227	61	149	5	12
50026	161	65	64	16	16
50027	67	26	34	1	6
50028	171	73	69	12	17
50029	124	53	55	4	12
50030	145	70	62	4	9
50031	209	99	77	11	22
50032	178	86	56	11	25
50033	244	77	156	5	6
50034	324	171	117	5	31
50035	290	160	82	5	43
50036	223	120	75	9	19
50037	218	124	60	9	25
50038	117	46	58	2	11
50039	116	42	64	3	7
50040	291	50	231	5	5
