Precinct	total_votes	votes|John C. D'Amico
33002	348	348
33007	127	127
35030	4	4
39001	427	427
39002	306	306
39004	423	423
39005	476	476
39006	472	472
39007	409	409
39008	505	505
39009	437	437
39010	239	239
39011	455	455
39012	274	274
39013	353	353
39014	453	453
39015	502	502
39016	436	436
39017	467	467
39018	443	443
39019	455	455
39024	11	11
39025	72	72
39026	415	415
39027	58	58
39029	258	258
39030	381	381
39031	45	45
39032	363	363
39033	479	479
39035	457	457
39036	110	110
39037	418	418
39038	237	237
39039	298	298
39040	432	432
39041	431	431
39042	444	444
39043	439	439
39044	325	325
39045	378	378
41006	509	509
41009	413	413
41014	485	485
41019	454	454
41032	374	374
41039	477	477
41047	480	480
45032	117	117
50024	254	254
50025	71	71
