Precinct	total_votes	votes|Richard J. Durbin	votes|Mark C. Curran Jr.	votes|Willie L. Wilson	votes|David F. Black	votes|Danny Malouf
03015	579	453	6	109	5	6
03016	486	366	12	101	3	4
03017	955	776	68	96	6	9
03018	869	646	26	175	13	9
03019	827	611	180	24	5	7
03020	643	493	12	130	7	1
03021	731	542	135	46	1	7
03022	951	737	156	32	10	16
03023	533	392	21	117	3	0
03024	515	393	13	103	3	3
03025	1218	923	245	34	8	8
03026	771	599	117	39	7	9
03027	866	624	186	38	10	8
03028	374	275	9	87	2	1
03029	665	479	13	166	4	3
03030	529	415	6	101	5	2
03031	715	543	8	157	6	1
03032	1082	854	158	49	11	10
03033	853	686	115	31	10	11
03034	1019	834	120	52	8	5
03035	319	257	9	49	2	2
03036	294	212	5	75	1	1
03037	532	405	10	106	7	4
03038	447	357	3	83	2	2
03039	1330	1066	200	30	22	12
03040	673	537	56	69	3	8
03041	494	389	33	63	5	4
04001	945	809	48	58	25	5
04002	894	716	138	25	4	11
04003	533	400	5	125	1	2
04004	822	604	22	189	6	1
04005	648	511	17	108	8	4
04006	734	607	47	78	1	1
04007	780	616	15	143	4	2
04008	699	524	11	149	9	6
04009	672	551	16	101	4	0
04010	782	664	12	96	6	4
04011	643	524	7	104	6	2
04012	787	634	13	135	5	0
04013	932	751	112	33	10	26
04014	640	505	21	102	8	4
04015	697	578	15	97	4	3
04016	1208	977	173	32	13	13
04017	811	668	90	19	20	14
04018	609	439	9	158	2	1
04019	534	416	12	98	6	2
04020	563	424	96	22	10	11
04021	783	631	104	27	11	10
04022	638	540	32	57	4	5
04023	809	726	25	40	13	5
04024	602	506	24	57	12	3
04025	886	711	132	17	10	16
04026	569	424	13	130	0	2
04027	872	736	23	86	21	6
04028	571	450	23	88	8	2
04029	600	474	6	113	5	2
04030	867	686	11	156	10	4
04031	598	519	16	55	7	1
04032	695	538	24	119	9	5
04033	608	509	18	72	9	0
04034	574	443	15	99	13	4
04035	721	599	26	86	6	4
04036	768	639	21	99	6	3
04037	1274	1041	167	26	23	17
04038	678	562	15	93	5	3
05001	556	445	15	88	4	4
05002	442	340	3	94	2	3
05003	635	564	23	28	19	1
05004	787	667	19	83	18	0
05005	545	419	6	110	8	2
05006	473	356	10	102	2	3
05007	615	499	26	77	9	4
05008	659	601	35	15	4	4
05009	722	628	24	52	13	5
05010	501	374	6	114	6	1
05011	611	522	26	36	22	5
05012	374	277	10	82	3	2
05013	520	401	9	101	9	0
05014	459	373	6	74	3	3
05015	607	480	27	84	12	4
05016	562	424	7	122	8	1
05017	489	389	9	88	2	1
05018	563	479	18	56	8	2
05019	574	506	37	23	7	1
05020	653	565	26	52	10	0
05021	614	530	20	48	15	1
05022	708	632	32	36	5	3
05023	1056	915	67	54	10	10
05024	749	639	27	65	15	3
05025	531	432	9	84	5	1
05026	572	422	18	124	5	3
05027	650	567	58	10	8	7
05028	595	447	21	116	5	6
05029	603	490	14	91	6	2
05030	388	298	4	81	3	2
05031	444	346	7	85	4	2
05032	640	499	12	120	4	5
05033	620	471	4	139	3	3
05034	670	597	44	12	6	11
05035	781	682	35	51	10	3
05036	380	281	6	89	3	1
05037	639	574	27	31	3	4
05038	555	420	10	121	1	3
05039	529	457	43	16	9	4
05040	450	350	11	84	3	2
05041	286	261	7	17	0	1
06001	496	387	4	102	3	0
06002	476	367	1	106	2	0
06003	506	403	3	96	3	1
06004	356	279	5	67	2	3
06005	335	255	4	75	0	1
06006	543	420	6	113	4	0
06007	476	358	8	106	3	1
06008	475	367	4	98	4	2
06009	475	359	5	105	2	4
06010	362	268	8	83	3	0
06011	407	300	6	97	3	1
06012	374	278	6	84	2	4
06013	354	270	4	74	6	0
06014	442	337	3	100	1	1
06015	440	316	9	109	4	2
06016	498	359	8	125	3	3
06017	343	243	12	85	3	0
06018	362	270	6	79	5	2
06019	414	317	1	91	5	0
06020	310	233	4	66	4	3
06021	247	180	4	60	2	1
06022	311	220	12	75	2	2
06023	279	212	6	57	2	2
06024	268	189	5	74	0	0
06025	261	202	5	53	1	0
06026	370	269	5	85	7	4
06027	292	214	5	70	2	1
06028	249	186	7	54	2	0
06029	491	398	3	86	3	1
06030	399	297	4	90	5	3
06031	468	372	5	83	5	3
06032	446	326	9	108	3	0
06033	465	358	12	92	0	3
06034	472	380	1	87	1	3
06035	432	339	7	80	5	1
06036	509	415	4	85	2	3
06037	489	362	10	113	2	2
06038	500	380	6	107	7	0
06039	402	296	6	99	1	0
06040	419	311	7	98	2	1
06041	472	345	6	115	3	3
06042	472	363	5	99	3	2
06043	442	337	3	98	3	1
06044	548	425	11	107	4	1
06045	468	360	4	101	1	2
06046	354	270	3	75	4	2
06047	349	249	7	93	0	0
06048	463	361	5	92	3	2
07001	475	356	9	104	3	3
07002	476	351	6	109	6	4
07003	455	370	5	74	3	3
07004	442	364	5	71	1	1
07005	423	314	11	91	4	3
07006	587	485	12	84	4	2
07007	452	342	17	89	3	1
07008	373	284	16	69	2	2
07009	768	583	16	166	2	1
07010	515	411	3	96	4	1
07011	525	414	5	100	5	1
07012	464	338	7	110	4	5
07013	308	247	3	57	1	0
07014	530	400	12	107	6	5
07015	440	333	2	99	4	2
07016	453	334	16	96	5	2
07017	362	262	4	88	4	4
07018	452	340	14	92	3	3
07019	431	318	5	99	7	2
07020	361	276	8	71	5	1
07021	353	265	9	75	0	4
07022	401	309	16	65	6	5
07023	413	340	4	62	6	1
07024	381	281	8	89	3	0
07025	384	288	24	67	3	2
07026	346	269	2	72	0	3
07027	360	286	4	62	2	6
07028	353	266	12	68	6	1
07029	401	314	8	73	3	3
07030	356	289	14	50	1	2
07031	330	262	15	48	3	2
07032	549	423	12	109	4	1
07033	544	460	4	79	0	1
07034	542	433	4	95	6	4
07035	476	377	15	81	3	0
07036	535	437	5	86	7	0
07037	455	353	9	88	2	3
07038	379	282	5	88	3	1
07039	402	319	2	78	2	1
07040	386	308	4	73	0	1
07041	414	310	3	98	3	0
07042	397	330	1	66	0	0
07043	420	320	7	89	2	2
07044	391	293	5	85	5	3
07045	459	348	11	92	7	1
07046	167	108	3	54	2	0
08001	409	308	8	86	3	4
08002	447	335	9	94	6	3
08003	498	411	4	77	3	3
08004	506	420	4	81	0	1
08005	486	408	1	71	6	0
08006	451	373	6	71	1	0
08007	513	416	11	80	5	1
08008	454	356	5	90	3	0
08009	298	236	4	52	1	5
08010	560	465	10	83	2	0
08011	384	303	4	74	3	0
08012	407	331	6	65	4	1
08013	533	408	11	105	6	3
08014	410	299	7	94	5	5
08015	437	333	11	88	4	1
08016	151	118	4	29	0	0
08017	397	322	6	64	4	1
08018	451	347	8	90	5	1
08019	495	407	7	73	6	2
08020	536	387	6	130	8	5
08021	603	453	9	138	1	2
08022	429	340	3	83	3	0
08023	378	295	6	75	1	1
08024	265	207	4	50	3	1
08025	472	360	10	96	2	4
08026	413	291	8	107	3	4
08027	507	407	12	82	4	2
08028	470	372	6	87	5	0
08029	516	391	7	115	3	0
08030	517	402	8	97	8	2
08031	357	286	5	64	1	1
08032	367	284	3	78	2	0
08033	385	295	4	83	2	1
08034	426	340	2	83	1	0
08035	538	427	8	99	4	0
08036	468	363	4	95	2	4
08037	365	294	6	62	2	1
08038	347	279	6	60	1	1
08039	451	363	3	80	2	3
08040	387	299	6	81	0	1
08041	500	363	3	125	6	3
08042	597	451	5	132	5	4
08043	269	195	7	63	2	2
08044	350	285	6	57	1	1
08045	412	306	4	93	6	3
08046	370	282	2	83	3	0
08047	393	292	7	88	4	2
08048	428	326	4	94	4	0
08049	422	339	3	75	5	0
08050	462	371	3	82	4	2
08051	467	371	6	85	5	0
08052	561	435	1	121	2	2
08053	274	211	4	58	1	0
08054	398	301	4	88	4	1
08055	367	281	3	79	4	0
08056	476	373	5	94	2	2
09001	434	314	7	111	0	2
09002	354	270	2	78	2	2
09003	316	254	6	54	1	1
09004	341	273	1	65	1	1
09005	425	336	2	82	4	1
09006	412	310	3	94	3	2
09007	339	251	5	78	3	2
09008	474	341	8	118	4	3
09009	505	377	5	118	5	0
09010	343	261	1	78	0	3
09011	317	229	5	82	1	0
09012	499	400	7	86	5	1
09013	488	365	1	119	3	0
09014	497	393	8	94	0	2
09015	565	404	9	143	4	5
09016	418	328	5	79	5	1
09017	336	249	4	76	3	4
09018	315	238	2	73	2	0
09019	432	346	5	76	3	2
09020	410	301	1	105	1	2
09021	414	298	12	100	4	0
09022	477	362	14	99	1	1
09023	498	394	4	95	4	1
09024	435	355	7	69	4	0
09025	429	344	5	76	3	1
09026	552	417	10	114	7	4
09027	367	283	5	75	2	2
09028	283	212	15	52	3	1
09029	394	289	4	99	0	2
09030	376	278	8	88	0	2
09031	365	281	6	73	4	1
09032	444	320	8	113	2	1
09033	338	245	1	87	3	2
09034	369	268	4	94	3	0
09035	405	325	4	72	2	2
09036	386	288	4	87	7	0
09037	665	479	54	117	8	7
09038	428	319	3	101	2	3
09039	455	349	5	94	3	4
09040	478	366	3	105	4	0
09041	362	274	7	79	2	0
09042	450	352	5	91	1	1
09043	392	274	4	112	1	1
09044	376	276	2	96	1	1
09045	365	283	7	70	4	1
09046	416	324	16	71	3	2
09047	454	358	3	85	7	1
09048	458	347	9	102	0	0
09049	478	367	5	102	1	3
09050	604	509	6	86	2	1
09051	421	326	3	91	1	0
10001	375	295	19	58	1	2
10002	485	292	127	53	5	8
10003	526	328	118	72	3	5
10004	383	293	16	65	5	4
10005	396	246	94	50	1	5
10006	412	306	71	30	2	3
10007	363	271	42	41	3	6
10008	258	205	10	39	4	0
10009	474	309	114	45	3	3
10010	528	377	96	39	10	6
10011	611	480	79	38	11	3
10012	344	261	58	20	2	3
10013	435	369	32	29	1	4
10014	612	461	96	43	7	5
10015	802	608	11	171	6	6
10016	389	261	74	41	8	5
10017	653	391	155	95	4	8
10018	287	240	11	29	3	4
10019	507	343	89	69	4	2
10020	511	369	78	56	3	5
10021	502	369	82	39	8	4
10022	285	226	34	19	4	2
10023	419	330	48	32	4	5
10024	502	287	139	69	2	5
10025	141	122	2	11	3	3
10026	349	269	28	39	5	8
10027	433	345	26	56	5	1
10028	544	436	59	37	4	8
10029	497	393	53	39	6	6
10030	447	345	49	38	6	9
10031	403	331	42	23	7	0
10032	504	378	85	31	5	5
10033	370	301	33	26	6	4
10034	339	264	24	50	1	0
10035	529	349	118	54	7	1
10036	133	100	8	20	4	1
11001	611	414	117	42	23	15
11002	52	28	9	12	2	1
11003	607	515	50	14	18	10
11004	485	366	72	31	11	5
11005	750	574	104	44	20	8
11006	902	725	119	32	14	12
11007	559	442	64	40	9	4
11008	553	410	90	38	11	4
11009	506	343	98	44	11	10
11010	575	395	129	33	9	9
11011	667	445	164	38	13	7
11012	773	365	278	113	10	7
11013	728	347	277	85	8	11
11014	365	220	102	35	4	4
11015	236	166	52	16	1	1
11016	433	270	118	34	2	9
11017	701	512	115	50	14	10
11018	488	309	132	32	9	6
11019	767	574	110	45	22	16
11020	429	270	110	36	7	6
11021	685	417	191	61	8	8
11022	705	486	151	48	10	10
11023	332	194	87	33	16	2
11024	623	382	163	67	5	6
11025	730	506	146	57	12	9
11026	616	416	138	42	16	4
11027	234	159	51	17	4	3
11028	292	156	93	38	3	2
11029	692	419	206	57	5	5
11030	322	199	85	34	3	1
11031	595	333	189	62	7	4
11032	269	129	97	33	2	8
11033	761	567	140	38	12	4
11034	201	118	59	18	3	3
11035	99	56	37	4	0	2
11036	274	183	61	21	5	4
11037	192	140	34	15	1	2
11038	303	235	26	25	12	5
12001	500	392	64	31	8	5
12002	446	362	45	33	5	1
12003	600	469	74	34	14	9
12004	570	434	73	42	14	7
12005	478	329	89	41	11	8
12006	606	469	85	30	13	9
12007	466	384	23	33	18	8
12008	524	402	86	20	13	3
12009	440	323	70	29	12	6
12010	640	544	30	40	20	6
12011	540	437	60	22	11	10
12012	516	407	61	36	5	7
12013	560	444	62	40	8	6
12014	460	395	30	25	6	4
12015	457	374	34	30	17	2
12016	458	394	31	18	11	4
12017	584	478	60	31	7	8
12018	436	370	31	20	11	4
12019	504	386	67	29	14	8
12020	585	466	56	47	8	8
12021	535	428	53	38	8	8
12022	480	404	27	25	15	9
12023	543	445	61	20	9	8
13001	426	276	113	28	5	4
13002	357	200	113	39	2	3
13003	370	309	43	13	5	0
13004	485	274	170	35	3	3
13005	525	421	65	25	9	5
13006	422	215	154	50	1	2
13007	383	274	73	23	5	8
13008	347	217	92	32	4	2
13009	469	381	70	12	4	2
13010	395	170	165	51	4	5
13011	474	289	142	37	4	2
13012	417	308	76	25	2	6
13013	423	319	63	27	6	8
13014	433	333	70	20	6	4
13015	638	519	79	27	7	6
13016	322	266	26	17	5	8
13017	386	249	96	38	3	0
13018	373	215	122	33	2	1
13019	555	461	45	36	5	8
13020	319	160	120	31	4	4
13021	521	253	201	59	1	7
13022	512	283	163	56	5	5
13023	365	285	52	16	2	10
13024	441	321	92	15	9	4
13025	449	343	66	22	8	10
13026	459	302	108	37	8	4
13027	438	291	106	33	6	2
13028	340	266	53	14	5	2
13029	351	263	63	23	1	1
13030	350	302	26	17	4	1
13031	492	272	156	53	4	7
13032	394	184	160	45	1	4
13033	434	252	148	25	3	6
13034	431	371	35	15	4	6
13035	390	295	58	20	10	7
13036	315	260	34	11	5	5
13037	444	335	61	38	6	4
13038	381	207	125	44	3	2
13039	408	329	47	14	11	7
13040	441	327	80	24	3	7
13041	526	442	47	25	5	7
13042	470	230	177	53	2	8
13043	448	318	91	28	6	5
13044	456	378	51	14	9	4
13045	464	308	109	37	3	7
13046	496	388	66	29	7	6
13047	516	425	54	21	7	9
13048	387	220	117	41	6	3
14001	549	270	188	82	5	4
14002	639	501	78	55	2	3
14003	479	408	43	17	7	4
14004	525	276	175	64	3	7
14005	685	586	50	32	8	9
14006	259	227	14	15	3	0
14007	631	511	77	28	7	8
14008	585	449	111	16	4	5
14009	633	361	195	52	13	12
14010	349	266	46	27	6	4
14011	283	248	24	7	3	1
14012	541	390	103	35	6	7
14013	439	354	52	26	5	2
14014	473	404	38	18	7	6
14015	529	457	31	21	16	4
14016	355	273	52	19	10	1
14017	421	342	49	23	2	5
14018	234	168	46	19	0	1
14019	450	367	47	17	14	5
14020	372	295	43	21	5	8
14021	463	366	52	26	13	6
14022	687	458	151	48	18	12
14023	413	283	96	27	4	3
14024	601	340	176	75	5	5
14025	281	230	28	12	5	6
14026	370	327	24	11	5	3
14027	486	369	66	36	8	7
14028	400	308	57	22	6	7
14029	361	296	39	16	6	4
14030	315	282	19	7	5	2
14031	257	210	25	13	5	4
15001	420	349	36	23	9	3
15002	261	194	7	57	3	0
15003	282	206	4	70	2	0
15004	474	392	37	31	6	8
15005	457	373	37	28	10	9
15006	494	383	57	36	11	7
15007	284	202	4	71	4	3
15008	474	400	43	17	4	10
15009	627	515	63	30	13	6
15010	632	497	68	46	9	12
15011	575	448	72	33	6	16
15012	570	449	53	46	8	14
15013	462	379	45	24	8	6
15014	418	347	33	22	8	8
15015	426	345	47	20	9	5
15016	526	436	37	40	7	6
15017	281	207	4	68	0	2
15018	252	174	9	63	6	0
15019	400	326	23	39	4	8
15020	284	205	5	73	0	1
15021	235	177	5	51	1	1
15022	291	194	11	75	9	2
15023	309	212	6	86	4	1
15024	278	194	7	75	2	0
16001	566	497	37	21	8	3
16002	340	251	13	71	2	3
16003	312	219	4	84	3	2
16004	406	306	9	85	4	2
16005	253	179	3	69	1	1
16006	318	245	2	67	2	2
16007	356	276	13	62	3	2
16008	254	192	6	47	4	5
16009	330	256	6	67	1	0
16010	316	241	4	71	0	0
16011	368	274	8	76	3	7
16012	323	238	10	63	7	5
16013	421	348	23	42	3	5
16014	281	192	5	80	3	1
16015	344	251	9	79	4	1
16016	309	240	5	60	2	2
16017	481	406	26	44	4	1
16018	413	312	21	65	7	8
16019	356	267	17	66	1	5
16020	269	202	6	57	2	2
16021	313	229	3	76	4	1
16022	331	264	11	51	3	2
16023	481	385	26	48	10	12
16024	180	136	5	36	2	1
16025	411	293	6	108	1	3
16026	271	197	5	66	2	1
16027	278	202	1	71	2	2
16028	316	234	8	68	4	2
16029	298	228	3	65	1	1
16030	293	203	11	71	5	3
16031	340	234	6	94	2	4
16032	480	391	33	37	10	9
16033	282	214	6	57	3	2
16034	307	218	7	78	4	0
16035	519	421	31	54	9	4
16036	247	180	4	60	3	0
17001	484	394	27	57	4	2
17002	429	324	5	97	2	1
17003	419	308	14	86	7	4
17004	517	381	8	119	8	1
17005	334	252	8	70	2	2
17006	439	344	14	73	6	2
17007	431	352	13	59	5	2
17008	389	271	16	98	2	2
17009	327	251	3	70	3	0
17010	547	410	9	120	5	3
17011	330	249	2	77	2	0
17012	608	475	43	75	9	6
17013	346	266	2	76	2	0
17014	474	373	23	65	13	0
17015	436	332	6	97	1	0
17016	492	381	22	79	6	4
17017	433	324	15	88	3	3
17018	466	358	3	99	6	0
17019	256	180	6	69	1	0
17020	500	401	2	87	8	2
17021	495	388	2	98	5	2
17022	391	296	4	88	0	3
17023	277	191	5	76	3	2
17024	431	321	1	107	1	1
17025	340	258	8	66	6	2
17026	437	334	4	97	1	1
17027	394	306	3	81	2	2
17028	348	274	6	66	2	0
17029	411	316	4	88	1	2
17030	418	334	32	46	3	3
17031	257	193	0	62	2	0
17032	344	254	6	77	4	3
17033	267	160	15	73	7	12
17034	291	210	4	71	1	5
17035	288	223	2	60	2	1
17036	392	294	5	87	5	1
17037	330	259	8	61	2	0
17038	462	340	8	109	2	3
17039	420	318	5	95	0	2
17040	446	326	4	114	2	0
17041	543	414	10	111	7	1
18001	441	352	12	71	2	4
18002	533	403	68	46	10	6
18003	437	279	82	66	6	4
18004	488	383	12	90	3	0
18005	286	225	1	56	3	1
18006	433	294	92	44	3	0
18007	486	361	50	72	2	1
18008	456	375	9	69	2	1
18009	437	361	16	60	0	0
18010	561	430	15	112	3	1
18011	439	335	35	63	5	1
18012	429	331	14	81	1	2
18013	499	390	18	82	6	3
18014	468	374	4	89	1	0
18015	516	375	63	65	8	5
18016	433	367	8	56	2	0
18017	476	392	27	49	2	6
18018	351	278	6	64	3	0
18019	404	322	8	72	2	0
18020	345	263	5	72	4	1
18021	575	429	28	110	7	1
18022	496	394	7	89	4	2
18023	466	372	15	71	3	5
18024	489	355	93	33	4	4
18025	515	385	73	43	6	8
18026	539	441	10	85	1	2
18027	399	301	15	75	4	4
18028	475	302	105	63	3	2
18029	535	426	41	58	8	2
18030	596	421	119	40	10	6
18031	503	411	19	67	4	2
18032	464	352	8	102	1	1
18033	357	267	5	81	2	2
18034	501	405	15	78	2	1
18035	513	398	16	94	3	2
18036	508	404	46	48	3	7
18037	509	393	14	96	6	0
18038	416	324	6	83	1	2
18039	403	324	14	60	2	3
18040	514	402	59	44	7	2
18041	546	419	16	109	2	0
18042	422	327	20	69	3	3
18043	417	313	67	24	6	7
18044	455	309	107	31	6	2
18045	486	384	53	35	6	8
18046	548	395	101	43	2	7
18047	356	267	13	71	1	4
18048	330	257	5	66	1	1
18049	311	249	9	49	2	2
18050	376	281	11	76	5	3
19001	468	225	180	60	1	2
19002	677	492	92	84	6	3
19003	467	125	268	68	1	5
19004	638	227	320	81	5	5
19005	582	402	115	56	2	7
19006	595	238	266	81	4	6
19007	494	275	148	55	8	8
19008	609	204	326	73	4	2
19009	391	177	162	49	2	1
19010	646	474	112	54	5	1
19011	534	159	302	68	4	1
19012	484	150	262	70	0	2
19013	597	471	14	104	5	3
19014	572	415	88	59	7	3
19015	734	256	393	69	5	11
19016	546	187	262	85	4	8
19017	453	219	175	52	1	6
19018	511	356	112	37	2	4
19019	664	480	116	59	6	3
19020	426	338	40	42	4	2
19021	578	207	301	58	4	8
19022	576	372	127	65	7	5
19023	558	257	227	64	4	6
19024	405	151	203	45	1	5
19025	510	312	148	42	3	5
19026	531	329	157	32	4	9
19027	513	392	48	64	5	4
19028	595	460	15	107	9	4
19029	605	229	288	81	3	4
19030	537	193	268	68	3	5
19031	491	295	136	52	3	5
19032	490	237	187	54	8	4
19033	600	204	306	87	1	2
19034	470	297	121	43	5	4
19035	480	313	115	43	3	6
19036	719	555	51	102	6	5
19037	511	399	47	55	5	5
19038	479	359	40	70	8	2
19039	244	183	12	45	2	2
19040	575	407	96	60	4	8
19041	543	185	292	58	4	4
19042	435	303	77	51	0	4
19043	694	529	19	136	8	2
19044	642	231	325	75	5	6
19045	545	248	213	74	4	6
19046	543	252	237	52	0	2
19047	719	539	75	96	4	5
19048	625	492	9	118	3	3
19049	620	470	35	101	12	2
19050	445	240	153	45	3	4
19051	592	311	207	64	6	4
19052	650	251	298	94	5	2
19053	502	289	161	45	1	6
19054	474	133	261	70	1	9
19055	487	161	260	59	1	6
19056	556	409	90	48	6	3
19057	432	315	62	46	7	2
20001	474	354	4	114	1	1
20002	182	137	4	39	2	0
20003	405	301	8	90	5	1
20004	226	176	14	33	2	1
20005	545	393	13	132	4	3
20006	219	145	2	72	0	0
20007	558	410	8	122	13	5
20008	420	295	6	116	1	2
20009	660	498	5	145	7	5
20010	328	260	1	60	5	2
20011	611	452	7	135	13	4
20012	449	320	6	114	7	2
20013	481	329	8	140	2	2
20014	269	197	7	62	3	0
20015	486	385	41	41	11	8
20016	569	451	15	87	12	4
20017	319	244	35	29	4	7
20018	330	247	4	75	3	1
20019	488	355	9	121	2	1
20020	363	295	36	21	4	7
20021	389	287	9	88	2	3
20022	625	491	19	104	10	1
20023	456	332	9	109	6	0
20024	615	471	27	109	4	4
20025	338	254	9	72	0	3
20026	456	344	10	89	10	3
20027	266	180	3	76	6	1
20028	290	200	2	85	1	2
20029	543	378	10	149	5	1
20030	215	168	6	40	1	0
20031	575	419	7	141	7	1
20032	402	303	9	85	3	2
20033	285	203	4	73	4	1
20034	615	486	41	76	7	5
20035	352	269	4	72	4	3
20036	156	118	2	33	1	2
20037	143	108	3	30	0	2
20038	168	114	12	40	2	0
20039	40	31	0	9	0	0
21001	495	383	3	105	4	0
21002	384	280	4	92	5	3
21003	452	333	4	107	5	3
21004	435	328	6	98	1	2
21005	479	376	6	96	1	0
21006	393	297	5	89	2	0
21007	450	340	3	102	1	4
21008	487	359	11	110	4	3
21009	475	378	7	88	2	0
21010	384	290	4	84	5	1
21011	426	322	4	95	4	1
21012	408	310	1	90	5	2
21013	469	348	8	107	4	2
21014	482	358	11	106	4	3
21015	414	313	5	91	4	1
21016	437	322	7	102	5	1
21017	401	292	9	96	3	1
21018	514	402	2	106	4	0
21019	495	379	3	103	6	4
21020	415	298	6	104	4	3
21021	378	277	6	87	4	4
21022	413	307	8	93	5	0
21023	416	335	5	74	1	1
21024	462	372	6	83	1	0
21025	392	276	8	104	2	2
21026	492	370	7	108	5	2
21027	486	371	2	107	5	1
21028	546	404	5	132	4	1
21029	487	359	4	118	5	1
21030	410	317	7	83	0	3
21031	336	265	6	63	2	0
21032	456	351	6	96	2	1
21033	384	291	7	80	6	0
21034	443	319	5	110	4	5
21035	534	440	9	80	2	3
21036	446	338	5	97	2	4
21037	337	259	3	74	0	1
21038	464	335	4	119	5	1
21039	407	314	0	88	4	1
21040	415	312	4	94	4	1
21041	474	356	4	108	4	2
21042	496	376	10	107	3	0
21043	457	355	6	93	2	1
21044	480	354	10	112	1	3
21045	433	334	4	90	3	2
21046	483	361	6	112	0	4
21047	428	322	6	97	2	1
21048	446	348	10	83	4	1
21049	493	392	5	92	2	2
21050	330	240	7	79	0	4
21051	458	346	9	96	6	1
21052	460	352	5	96	5	2
21053	378	274	7	93	4	0
21054	398	289	3	102	3	1
22001	262	208	8	41	2	3
22002	592	388	147	40	11	6
22003	709	611	53	26	9	10
22004	379	326	24	19	5	5
22005	457	386	45	16	5	5
22006	456	392	42	9	7	6
22007	362	322	25	9	5	1
22008	672	513	112	36	6	5
22009	382	331	19	14	14	4
22010	623	528	57	23	10	5
22011	391	324	29	18	12	8
22012	413	291	58	47	9	8
22013	501	417	42	26	8	8
22014	393	322	25	33	5	8
22015	385	323	24	21	12	5
22016	386	330	28	18	6	4
22017	621	490	62	44	11	14
22018	391	332	22	23	8	6
22019	224	170	9	41	1	3
22020	464	398	39	17	4	6
22021	448	344	16	83	2	3
22022	452	365	34	36	12	5
22023	525	413	19	88	4	1
22024	550	476	39	18	8	9
22025	450	381	25	28	11	5
23001	454	221	170	56	3	4
23002	499	277	170	45	3	4
23003	444	227	175	36	4	2
23004	527	298	148	65	8	8
23005	476	401	46	17	7	5
23006	498	374	74	31	11	8
23007	433	342	52	25	8	6
23008	568	383	138	33	1	13
23009	445	370	42	22	5	6
