Precinct	total_votes	votes|Iris Y. Martinez	votes|Barbara Bellar
01001	667	572	95
01002	574	518	56
01003	766	651	115
01004	752	627	125
01005	699	573	126
01006	589	481	108
01007	452	394	58
01008	568	479	89
01009	466	403	63
01010	835	684	151
01011	747	636	111
01012	801	640	161
01013	327	278	49
01014	636	535	101
01015	593	491	102
01016	713	628	85
01017	571	501	70
01018	642	589	53
01019	763	688	75
01020	509	466	43
01021	932	782	150
01022	454	391	63
01023	834	744	90
01024	601	544	57
01025	648	569	79
01026	442	386	56
01027	712	593	119
01028	223	190	33
01029	850	727	123
01030	738	663	75
01031	592	520	72
01032	628	501	127
01033	742	587	155
01034	515	465	50
01035	823	653	170
01036	755	618	137
01037	691	555	136
01038	630	546	84
01039	536	447	89
01040	587	482	105
01041	374	339	35
01042	215	180	35
01043	417	356	61
01044	592	516	76
02001	739	618	121
02002	464	326	138
02003	749	624	125
02004	664	578	86
02005	779	633	146
02006	707	586	121
02007	622	511	111
02008	836	698	138
02009	647	430	217
02010	474	295	179
02011	658	447	211
02012	543	444	99
02013	516	370	146
02014	652	537	115
02015	604	503	101
02016	641	522	119
02017	723	585	138
02018	582	406	176
02019	415	266	149
02020	854	620	234
02021	700	599	101
02022	681	465	216
02023	418	286	132
02024	574	422	152
02025	750	607	143
02026	570	408	162
02027	565	344	221
02028	738	535	203
02029	706	483	223
02030	537	350	187
02031	705	476	229
02032	555	366	189
02033	886	609	277
02034	454	299	155
02035	865	593	272
02036	716	485	231
02037	531	381	150
02038	578	371	207
02039	448	255	193
02040	906	623	283
02041	775	507	268
02042	728	518	210
02043	868	556	312
02044	382	253	129
02045	748	558	190
02046	367	250	117
03001	760	720	40
03002	584	550	34
03003	485	419	66
03004	626	606	20
03005	325	294	31
03006	849	656	193
03007	336	309	27
03008	423	391	32
03009	644	613	31
03010	282	264	18
03011	604	581	23
03012	532	509	23
03013	719	586	133
03014	699	594	105
03015	542	517	25
03016	454	426	28
03017	877	783	94
03018	772	720	52
03019	748	557	191
03020	593	560	33
03021	633	485	148
03022	863	674	189
03023	478	426	52
03024	479	454	25
03025	1095	799	296
03026	700	561	139
03027	806	584	222
03028	292	271	21
03029	599	564	35
03030	478	463	15
03031	656	622	34
03032	993	814	179
03033	786	642	144
03034	922	756	166
03035	303	287	16
03036	275	264	11
03037	505	476	29
03038	398	375	23
03039	1208	975	233
03040	622	538	84
03041	415	365	50
04001	867	803	64
04002	829	678	151
04003	484	469	15
04004	749	692	57
04005	605	573	32
04006	660	596	64
04007	728	691	37
04008	635	617	18
04009	618	588	30
04010	747	717	30
04011	601	573	28
04012	755	723	32
04013	855	705	150
04014	588	545	43
04015	660	623	37
04016	1115	920	195
04017	722	612	110
04018	553	522	31
04019	449	418	31
04020	513	408	105
04021	714	596	118
04022	562	523	39
04023	721	683	38
04024	553	517	36
04025	811	674	137
04026	528	489	39
04027	793	748	45
04028	528	492	36
04029	556	525	31
04030	798	767	31
04031	536	502	34
04032	649	615	34
04033	555	523	32
04034	541	506	35
04035	668	624	44
04036	730	687	43
04037	1170	975	195
04038	643	611	32
05001	495	473	22
05002	408	393	15
05003	558	533	25
05004	729	696	33
05005	496	474	22
05006	427	399	28
05007	560	527	33
05008	574	518	56
05009	644	612	32
05010	448	428	20
05011	553	507	46
05012	345	319	26
05013	472	451	21
05014	424	408	16
05015	549	503	46
05016	504	482	22
05017	439	414	25
05018	520	492	28
05019	494	457	37
05020	593	558	35
05021	562	522	40
05022	657	608	49
05023	970	891	79
05024	689	652	37
05025	505	475	30
05026	530	494	36
05027	563	502	61
05028	543	512	31
05029	564	537	27
05030	348	329	19
05031	401	383	18
05032	597	566	31
05033	563	538	25
05034	599	536	63
05035	698	652	46
05036	342	325	17
05037	575	534	41
05038	491	465	26
05039	465	405	60
05040	414	386	28
05041	254	243	11
06001	464	447	17
06002	446	438	8
06003	450	431	19
06004	308	291	17
06005	291	279	12
06006	503	482	21
06007	429	396	33
06008	441	425	16
06009	436	414	22
06010	312	287	25
06011	378	358	20
06012	328	304	24
06013	330	318	12
06014	403	392	11
06015	378	348	30
06016	457	436	21
06017	309	269	40
06018	315	291	24
06019	354	342	12
06020	292	280	12
06021	204	188	16
06022	275	260	15
06023	224	206	18
06024	226	202	24
06025	227	212	15
06026	333	303	30
06027	267	246	21
06028	222	210	12
06029	447	427	20
06030	367	347	20
06031	446	424	22
06032	431	413	18
06033	425	393	32
06034	433	421	12
06035	394	374	20
06036	473	456	17
06037	468	442	26
06038	463	440	23
06039	355	335	20
06040	377	361	16
06041	427	402	25
06042	432	410	22
06043	404	384	20
06044	495	463	32
06045	420	411	9
06046	322	302	20
06047	316	295	21
06048	421	401	20
07001	418	393	25
07002	415	397	18
07003	413	399	14
07004	413	396	17
07005	374	348	26
07006	544	527	17
07007	411	384	27
07008	335	310	25
07009	707	661	46
07010	484	471	13
07011	476	452	24
07012	396	371	25
07013	233	220	13
07014	480	456	24
07015	407	395	12
07016	409	380	29
07017	336	318	18
07018	391	370	21
07019	386	368	18
07020	331	311	20
07021	318	301	17
07022	367	329	38
07023	396	378	18
07024	351	332	19
07025	343	308	35
07026	332	320	12
07027	335	327	8
07028	326	305	21
07029	373	353	20
07030	322	300	22
07031	302	280	22
07032	512	491	21
07033	490	468	22
07034	512	492	20
07035	452	435	17
07036	502	478	24
07037	413	394	19
07038	358	343	15
07039	385	365	20
07040	361	348	13
07041	395	372	23
07042	383	373	10
07043	395	377	18
07044	362	349	13
07045	397	376	21
07046	123	113	10
08001	374	351	23
08002	397	377	20
08003	469	454	15
08004	473	466	7
08005	465	451	14
08006	422	399	23
08007	483	464	19
08008	429	418	11
08009	284	271	13
08010	518	503	15
08011	350	336	14
08012	374	358	16
08013	496	466	30
08014	351	324	27
08015	396	373	23
08016	138	127	11
08017	356	346	10
08018	408	374	34
08019	457	440	17
08020	477	462	15
08021	553	528	25
08022	384	363	21
08023	334	322	12
08024	240	234	6
08025	423	399	24
08026	370	342	28
08027	463	444	19
08028	425	400	25
08029	473	451	22
08030	473	448	25
08031	329	312	17
08032	337	327	10
08033	348	325	23
08034	394	384	10
08035	488	468	20
08036	432	408	24
08037	346	338	8
08038	308	297	11
08039	416	406	10
08040	353	338	15
08041	459	440	19
08042	546	526	20
08043	245	228	17
08044	299	277	22
08045	360	339	21
08046	343	326	17
08047	358	339	19
08048	387	374	13
08049	391	380	11
08050	422	405	17
08051	422	410	12
08052	522	503	19
08053	266	255	11
08054	358	326	32
08055	326	314	12
08056	436	422	14
09001	396	379	17
09002	324	307	17
09003	279	259	20
09004	324	318	6
09005	402	389	13
09006	382	363	19
09007	315	296	19
09008	430	402	28
09009	477	460	17
09010	312	296	16
09011	292	270	22
09012	455	424	31
09013	444	428	16
09014	454	438	16
09015	485	447	38
09016	391	375	16
09017	299	285	14
09018	296	287	9
09019	410	391	19
09020	382	371	11
09021	379	351	28
09022	432	411	21
09023	458	443	15
09024	402	382	20
09025	391	379	12
09026	507	474	33
09027	339	316	23
09028	278	256	22
09029	366	349	17
09030	343	317	26
09031	341	324	17
09032	410	390	20
09033	302	283	19
09034	338	318	20
09035	376	362	14
09036	355	339	16
09037	610	524	86
09038	386	370	16
09039	431	416	15
09040	443	425	18
09041	328	315	13
09042	422	406	16
09043	351	331	20
09044	352	342	10
09045	317	296	21
09046	385	364	21
09047	423	410	13
09048	417	393	24
09049	439	419	20
09050	567	545	22
09051	394	377	17
10001	348	313	35
10002	447	302	145
10003	471	324	147
10004	342	317	25
10005	376	263	113
10006	376	303	73
10007	327	277	50
10008	224	211	13
10009	447	304	143
10010	502	392	110
10011	584	490	94
10012	333	268	65
10013	413	372	41
10014	572	468	104
10015	743	714	29
10016	351	262	89
10017	591	394	197
10018	259	245	14
10019	474	360	114
10020	477	381	96
