Precinct	total_votes	votes|Nicholas ''Nick'' Smith
06001	239	239
06002	274	274
06003	200	200
06008	225	225
06013	166	166
06014	181	181
06016	231	231
06019	24	24
06029	217	217
06031	221	221
06034	217	217
06035	210	210
06036	247	247
06037	232	232
06038	233	233
06039	144	144
06041	225	225
06042	169	169
06043	167	167
06044	231	231
06045	223	223
06046	154	154
08015	43	43
08022	182	182
08026	61	61
08031	137	137
08032	179	179
08034	208	208
08039	205	205
08043	87	87
08045	39	39
08047	163	163
08054	12	12
09001	71	71
09007	6	6
09008	148	148
09009	161	161
09012	188	188
09013	175	175
09023	207	207
09024	219	219
09025	189	189
09028	16	16
09031	15	15
09036	135	135
09037	259	259
09038	88	88
09042	220	220
09043	60	60
09046	188	188
09047	229	229
09048	209	209
09049	205	205
09050	305	305
09051	219	219
10013	1	1
10016	0	0
17021	181	181
21031	136	136
21053	71	71
