Precinct	total_votes	votes|Robin Kelly	votes|Marcus Lewis
05001	229	181	48
05006	227	187	40
05010	51	39	12
05011	198	172	26
05014	271	238	33
05018	124	114	10
05023	508	451	57
05025	224	199	25
05026	261	219	42
05028	317	278	39
05029	296	247	49
05031	190	156	34
05032	331	286	45
05035	58	47	11
05036	104	80	24
05037	343	303	40
05038	232	185	47
05040	213	180	33
05041	188	170	18
07001	112	85	27
07002	195	159	36
07003	258	218	40
07004	239	205	34
07005	199	148	51
07006	290	242	48
07007	191	151	40
07008	135	109	26
07009	385	313	72
07010	254	210	44
07011	206	165	41
07012	191	140	51
07013	154	125	29
07014	221	172	49
07015	217	187	30
07016	156	109	47
07017	201	156	45
07018	149	123	26
07019	180	151	29
07020	142	112	30
07021	138	106	32
07022	175	142	33
07023	226	190	36
07024	160	130	30
07025	167	131	36
07026	183	156	27
07027	172	148	24
07028	133	104	29
07029	170	151	19
07030	140	112	28
07031	139	110	29
07032	336	283	53
07033	331	270	61
07034	292	244	48
07035	227	181	46
07036	288	236	52
07037	232	199	33
07038	175	139	36
07039	205	172	33
07040	211	176	35
07041	204	166	38
07042	195	153	42
07043	212	171	41
07044	187	155	32
07045	190	152	38
07046	103	88	15
08004	179	150	29
08005	6	5	1
08007	294	240	54
08009	171	143	28
08017	217	177	40
08027	227	194	33
08028	237	194	43
08032	213	185	28
08036	244	203	41
08039	244	211	33
08042	269	231	38
08046	176	149	27
08049	6	3	3
08050	97	87	10
08053	110	99	11
09001	217	188	29
09002	201	168	33
09003	126	100	26
09004	179	144	35
09005	207	174	33
09006	222	183	39
09007	140	119	21
09008	185	152	33
09009	246	209	37
09010	184	147	37
09011	147	120	27
09013	283	247	36
09014	275	234	41
09015	160	121	39
09016	234	204	30
09017	139	114	25
09018	158	124	34
09019	199	174	25
09020	201	168	33
09021	192	150	42
09022	239	206	33
09026	167	131	36
09027	176	150	26
09028	92	74	18
09029	120	101	19
09030	159	130	29
09031	152	123	29
09032	223	198	25
09033	154	129	25
09034	161	134	27
09035	231	197	34
09037	309	258	51
09038	208	172	36
09039	232	198	34
09040	274	227	47
09041	180	148	32
09043	151	118	33
09044	211	164	47
09045	160	131	29
09046	223	175	48
10001	178	139	39
10002	165	136	29
10003	155	118	37
10004	127	102	25
10005	134	96	38
10006	136	113	23
10007	115	91	24
10008	88	66	22
10009	152	117	35
10010	175	138	37
10011	226	186	40
10012	116	95	21
10013	178	121	57
10014	223	185	38
10015	415	353	62
10016	106	80	26
10017	259	210	49
10018	100	75	25
10019	181	150	31
10020	200	140	60
10021	184	140	44
10022	106	80	26
10023	161	136	25
10024	158	117	41
10025	58	44	14
10026	128	96	32
10027	151	119	32
10028	212	159	53
10029	182	139	43
10030	161	130	31
10031	133	105	28
10032	174	138	36
10033	139	110	29
10034	120	96	24
10035	196	160	36
10036	44	38	6
34002	35	28	7
34004	156	131	25
34018	146	121	25
34022	87	79	8
34023	190	160	30
34024	197	165	32
34027	176	144	32
34028	120	102	18
34030	144	128	16
34036	209	166	43
34037	119	99	20
34038	91	74	17
34039	142	121	21
34041	108	87	21
34053	128	112	16
