Precinct	total_votes	votes|Marcus C. Evans, Jr.
07026	171	171
07027	156	156
07028	89	89
07029	146	146
07030	111	111
07032	114	114
07036	256	256
07037	10	10
07038	165	165
07039	184	184
07040	196	196
07041	186	186
07042	183	183
07043	210	210
07044	166	166
07045	169	169
08003	292	292
08004	267	267
08005	271	271
08006	242	242
08007	256	256
08008	248	248
08010	317	317
08011	147	147
08012	188	188
08014	152	152
08015	143	143
08017	204	204
08018	138	138
08019	282	282
08023	169	169
08024	148	148
08025	199	199
08027	253	253
08029	232	232
08030	231	231
08033	161	161
08035	273	273
08036	225	225
08037	186	186
08038	146	146
08040	183	183
08041	210	210
08044	140	140
08045	106	106
08046	162	162
08048	176	176
08049	224	224
08050	220	220
08051	247	247
08052	330	330
08053	113	113
08054	43	43
08056	247	247
10002	142	142
10003	138	138
10005	117	117
10009	127	127
10013	161	161
10014	6	6
10015	389	389
10016	91	91
10017	222	222
10021	24	24
10023	16	16
10024	132	132
10027	8	8
10033	0	0
