Precinct	total_votes	votes|Kim Foxx	votes|Patrick W. ''Pat'' O'Brien	votes|Brian Dennehy
01001	700	476	164	60
01002	582	432	99	51
01003	792	504	228	60
01004	797	471	264	62
01005	729	442	234	53
01006	620	347	217	56
01007	461	289	124	48
01008	599	391	158	50
01009	474	329	112	33
01010	867	515	282	70
01011	782	493	242	47
01012	832	507	254	71
01013	338	216	93	29
01014	670	430	206	34
01015	614	366	182	66
01016	725	508	161	56
01017	591	418	122	51
01018	651	476	104	71
01019	784	575	147	62
01020	515	372	86	57
01021	987	638	275	74
01022	462	308	117	37
01023	857	649	136	72
01024	615	444	123	48
01025	658	480	125	53
01026	459	319	95	45
01027	750	467	215	68
01028	236	177	44	15
01029	872	578	239	55
01030	763	533	163	67
01031	614	404	169	41
01032	653	385	205	63
01033	774	437	284	53
01034	519	378	96	45
01035	844	450	307	87
01036	786	474	247	65
01037	718	404	243	71
01038	639	429	160	50
01039	552	329	169	54
01040	614	356	203	55
01041	390	271	76	43
01042	217	126	66	25
01043	426	262	127	37
01044	611	429	124	58
02001	775	502	202	71
02002	484	198	260	26
02003	791	484	238	69
02004	687	468	164	55
02005	814	475	257	82
02006	733	468	208	57
02007	646	399	202	45
02008	879	529	293	57
02009	688	308	348	32
02010	499	166	305	28
02011	681	241	409	31
02012	576	332	210	34
02013	538	219	284	35
02014	689	418	202	69
02015	633	415	170	48
02016	668	433	197	38
02017	760	453	245	62
02018	613	269	300	44
02019	459	155	280	24
02020	912	439	414	59
02021	728	468	202	58
02022	722	304	381	37
02023	423	144	257	22
02024	624	301	285	38
02025	798	467	278	53
02026	609	282	287	40
02027	611	224	355	32
02028	775	365	354	56
02029	752	334	373	45
02030	566	214	320	32
02031	748	275	435	38
02032	589	267	295	27
02033	924	348	519	57
02034	485	165	301	19
02035	909	425	434	50
02036	759	320	383	56
02037	566	236	293	37
02038	610	221	354	35
02039	464	186	247	31
02040	950	469	427	54
02041	815	340	425	50
02042	759	386	331	42
02043	910	369	504	37
02044	398	157	214	27
02045	783	420	310	53
02046	379	157	202	20
03001	790	716	34	40
03002	623	568	36	19
03003	504	381	95	28
03004	649	600	33	16
03005	352	307	27	18
03006	892	460	365	67
03007	363	327	21	15
03008	460	402	39	19
03009	669	615	27	27
03010	309	280	20	9
03011	641	582	34	25
03012	563	511	36	16
03013	739	377	294	68
03014	731	474	199	58
03015	571	505	41	25
03016	478	435	25	18
03017	907	695	150	62
03018	822	693	83	46
03019	791	368	373	50
03020	633	581	39	13
03021	687	401	260	26
03022	894	480	348	66
03023	517	435	63	19
03024	510	456	31	23
03025	1149	525	555	69
03026	728	379	312	37
03027	831	402	368	61
03028	361	317	24	20
03029	639	561	44	34
03030	513	467	28	18
03031	699	634	26	39
03032	1032	648	310	74
03033	820	491	269	60
03034	981	601	313	67
03035	315	275	27	13
03036	283	260	12	11
03037	520	473	24	23
03038	428	390	25	13
03039	1262	732	453	77
03040	651	477	140	34
03041	445	358	68	19
04001	887	740	115	32
04002	852	490	297	65
04003	520	486	20	14
04004	804	730	56	18
04005	625	558	45	22
04006	711	590	98	23
04007	774	709	43	22
04008	681	632	23	26
04009	646	580	45	21
04010	767	667	54	46
04011	627	552	42	33
04012	777	698	46	33
04013	883	567	238	78
04014	616	542	50	24
04015	686	609	53	24
04016	1147	703	355	89
04017	754	492	201	61
04018	596	525	44	27
04019	500	454	28	18
04020	534	301	194	39
04021	729	450	215	64
04022	596	478	82	36
04023	743	625	74	44
04024	584	496	59	29
04025	838	486	278	74
04026	563	502	40	21
04027	829	711	79	39
04028	548	478	47	23
04029	591	543	34	14
04030	855	780	37	38
04031	575	494	55	26
04032	683	609	53	21
04033	579	501	42	36
04034	566	492	49	25
04035	701	607	61	33
04036	753	661	58	34
04037	1210	764	379	67
04038	670	596	51	23
05001	536	472	28	36
05002	435	392	20	23
05003	580	505	59	16
05004	764	677	46	41
05005	531	473	24	34
05006	459	411	28	20
