Precinct	total_votes	votes|Marie Newman	votes|Rush Darwish	votes|Daniel William Lipinski	votes|Charles M. Hughes
11001	315	195	17	91	12
11004	220	124	7	83	6
11005	391	289	21	72	9
11008	251	152	11	76	12
11009	255	168	8	73	6
11010	253	140	10	95	8
11011	259	166	12	75	6
11012	374	143	10	205	16
11013	314	124	8	173	9
11015	103	67	4	25	7
11016	189	82	7	92	8
11017	386	266	14	105	1
11018	241	105	16	116	4
11019	366	258	9	93	6
11020	203	101	7	88	7
11021	386	168	10	199	9
11022	350	196	17	126	11
11023	202	94	8	93	7
11024	398	151	12	224	11
11025	339	223	6	102	8
11026	336	203	7	123	3
11027	92	59	1	30	2
11028	102	47	2	48	5
11029	319	151	9	147	12
11031	281	127	11	132	11
11032	127	46	8	70	3
11037	1	1	0	0	0
12001	284	178	14	87	5
12003	301	203	11	81	6
12004	304	195	11	87	11
12005	88	43	4	36	5
12008	11	10	0	0	1
12009	221	135	12	69	5
12019	240	154	6	72	8
12023	296	194	15	80	7
13001	205	86	3	113	3
13002	203	68	3	126	6
13003	187	98	2	84	3
13004	216	64	6	141	5
13005	242	118	8	113	3
13006	253	77	5	167	4
13007	170	76	4	83	7
13008	169	76	0	89	4
13009	214	115	7	87	5
13010	221	58	2	158	3
13011	269	93	7	163	6
13012	200	90	8	101	1
13013	238	94	7	134	3
13014	208	87	10	105	6
13015	340	132	7	191	10
13016	149	75	2	69	3
13017	180	76	6	95	3
13018	176	62	5	109	0
13020	155	39	7	106	3
13021	249	59	5	185	0
13022	236	67	6	158	5
13023	154	66	7	80	1
13024	195	85	7	99	4
13025	224	102	9	105	8
13026	201	69	6	124	2
13027	209	82	8	115	4
13028	175	70	7	93	5
13029	170	75	6	85	4
13030	193	88	4	96	5
13031	234	75	10	148	1
13032	211	68	3	134	6
13033	238	81	7	146	4
13034	301	81	7	209	4
13035	248	93	9	143	3
13036	150	61	3	79	7
13037	222	83	14	116	9
13038	218	76	5	133	4
13039	206	81	9	112	4
13040	201	63	10	124	4
13041	210	89	9	104	8
13042	252	66	3	180	3
13043	223	88	4	130	1
13044	223	81	4	130	8
13045	277	72	5	195	5
13046	249	96	12	137	4
13047	264	83	10	168	3
13048	201	56	3	139	3
14001	282	89	2	185	6
14004	229	60	5	159	5
14005	96	40	7	46	3
14007	270	135	19	111	5
14008	235	128	8	93	6
14009	310	118	3	184	5
14012	202	92	8	99	3
14018	107	48	3	53	3
14021	152	94	4	48	6
14022	301	136	18	139	8
14023	183	82	5	93	3
14024	304	99	7	193	5
14025	0	0	0	0	0
14026	171	89	8	66	8
14029	193	95	5	89	4
15001	159	105	7	43	4
15005	33	17	2	10	4
15008	102	61	3	31	7
15013	171	110	11	38	12
15014	161	102	15	39	5
15015	106	56	6	38	6
15016	233	116	9	95	13
15019	187	111	7	59	10
16001	135	67	3	62	3
16007	7	3	1	3	0
16023	156	70	5	69	12
16032	176	93	7	61	15
16035	66	30	10	21	5
18015	225	129	21	60	15
18024	192	82	14	89	7
18025	195	100	10	77	8
18030	259	116	18	118	7
18040	246	121	12	99	14
18043	165	75	9	71	10
18046	241	107	28	97	9
19001	272	93	5	169	5
19002	65	43	5	17	0
19003	208	43	4	158	3
19004	305	83	8	209	5
19005	138	72	3	58	5
19006	282	97	12	169	4
19007	271	96	10	155	10
19008	280	77	13	182	8
19009	225	84	2	135	4
19010	351	230	9	98	14
19011	243	43	5	183	12
19012	225	52	3	167	3
19015	298	89	12	192	5
19016	293	81	4	202	6
19017	267	92	6	162	7
19018	347	207	8	124	8
19019	446	263	14	155	14
19021	237	76	5	149	7
19022	381	188	15	162	16
19023	335	122	11	195	7
19024	218	53	5	156	4
19025	247	119	5	119	4
19026	333	173	11	147	2
19029	247	73	15	149	10
19030	250	73	8	165	4
19032	265	108	7	141	9
19033	280	66	11	199	4
19034	316	160	2	140	14
19035	311	157	15	130	9
19041	238	52	2	181	3
19044	306	74	8	217	7
19045	298	116	3	173	6
19046	323	120	4	198	1
19050	252	97	6	133	16
19051	347	146	6	188	7
19052	292	90	7	186	9
19053	263	108	5	146	4
19054	215	59	7	146	3
19055	214	57	4	148	5
19056	360	229	10	112	9
19057	285	183	4	88	10
20004	51	23	3	14	11
20015	82	42	11	26	3
20020	42	26	2	11	3
22001	131	70	3	45	13
22002	261	127	10	122	2
22008	281	157	14	106	4
22012	171	85	8	68	10
22023	280	157	14	82	27
23001	204	65	0	138	1
23002	201	73	7	119	2
23003	200	66	1	132	1
23004	251	83	6	155	7
23005	226	125	18	78	5
23006	98	45	4	49	0
23007	185	101	6	67	11
23008	235	116	12	96	11
23009	84	43	4	35	2
23010	229	111	7	104	7
23011	215	124	6	79	6
23012	228	67	5	150	6
23014	210	65	5	140	0
23015	71	41	6	21	3
23016	225	80	0	141	4
23017	74	47	5	19	3
23018	181	67	3	109	2
23019	109	73	3	30	3
23020	111	66	8	33	4
23021	255	87	6	162	0
23022	215	102	2	107	4
23023	205	83	4	113	5
23025	176	96	7	66	7
23026	120	59	2	54	5
23027	212	61	7	142	2
23028	226	79	4	140	3
23029	195	64	5	120	6
23030	259	130	13	109	7
23031	144	91	4	43	6
23032	185	99	9	69	8
23033	200	109	9	79	3
23034	135	83	7	40	5
23035	163	61	2	96	4
23036	188	67	7	112	2
23037	223	69	3	145	6
23038	196	73	9	112	2
23039	54	31	0	23	0
