Precinct	total_votes	votes|Ira I. Silverstein
33002	215	215
33007	59	59
35030	9	9
39001	217	217
39002	143	143
39004	200	200
39005	247	247
39006	238	238
39007	216	216
39008	260	260
39009	241	241
39010	136	136
39011	250	250
39012	144	144
39013	175	175
39014	206	206
39015	256	256
39016	181	181
39017	267	267
39018	249	249
39019	228	228
39024	10	10
39025	64	64
39026	195	195
39027	50	50
39029	140	140
39030	227	227
39031	22	22
39032	204	204
39033	273	273
39035	229	229
39036	81	81
39037	244	244
39038	140	140
39039	155	155
39040	182	182
39041	217	217
39042	226	226
39043	217	217
39044	172	172
39045	220	220
40004	121	121
40010	201	201
40029	30	30
40035	0	0
40039	44	44
41006	291	291
41009	211	211
41014	270	270
41019	235	235
41032	180	180
41039	242	242
41047	231	231
45032	73	73
50001	163	163
50002	138	138
50003	191	191
50004	233	233
50005	117	117
50006	259	259
50007	299	299
50008	7	7
50009	194	194
50010	179	179
50011	92	92
50012	86	86
50013	280	280
50014	59	59
50015	298	298
50016	64	64
50017	173	173
50018	32	32
50019	154	154
50020	258	258
50021	200	200
50022	158	158
50023	126	126
50024	129	129
50025	139	139
50026	216	216
50027	66	66
50028	233	233
50029	186	186
50030	170	170
50031	282	282
50032	261	261
50033	126	126
50034	283	283
50035	305	305
50036	225	225
50037	261	261
50038	122	122
50039	125	125
50040	153	153
Maine 1	140	140
Maine 2	160	160
Maine 5	125	125
Maine 15	125	125
Maine 31	179	179
Maine 32	110	110
Maine 33	155	155
Maine 40	194	194
Maine 44	123	123
Maine 46	163	163
Maine 51	182	182
Maine 52	170	170
Maine 58	199	199
Maine 60	32	32
Maine 62	107	107
Maine 63	152	152
Maine 69	165	165
Maine 71	117	117
Maine 72	144	144
Maine 73	70	70
Maine 74	149	149
Maine 75	168	168
Maine 76	97	97
Maine 78	198	198
Maine 81	120	120
Maine 83	83	83
Maine 84	112	112
Maine 89	119	119
Maine 90	88	88
Niles 1	219	219
Niles 2	253	253
Niles 3	2	2
Niles 4	185	185
Niles 5	127	127
Niles 6	190	190
Niles 10	248	248
Niles 11	107	107
Niles 12	198	198
Niles 13	132	132
Niles 15	282	282
Niles 16	348	348
Niles 17	319	319
Niles 20	205	205
Niles 24	310	310
Niles 25	185	185
Niles 26	278	278
Niles 27	210	210
Niles 29	186	186
Niles 30	178	178
Niles 33	212	212
Niles 34	249	249
Niles 35	255	255
Niles 38	393	393
Niles 39	314	314
Niles 40	121	121
Niles 41	279	279
Niles 42	267	267
Niles 43	251	251
Niles 44	322	322
Niles 46	263	263
Niles 50	251	251
Niles 51	145	145
Niles 52	177	177
Niles 53	336	336
Niles 54	154	154
Niles 55	165	165
Niles 56	287	287
Niles 57	256	256
Niles 58	263	263
Niles 61	307	307
Niles 63	379	379
