Precinct	total_votes	votes|John G. Mulroe
29029	181	181
29031	72	72
29032	188	188
38001	187	187
38002	182	182
38003	205	205
38005	188	188
38006	197	197
38007	196	196
38009	221	221
38011	204	204
38012	165	165
38013	203	203
38014	248	248
38015	224	224
38017	227	227
38018	202	202
38019	207	207
38020	191	191
38021	177	177
38022	214	214
38024	202	202
38025	178	178
38026	209	209
38027	208	208
38028	231	231
38029	215	215
38030	182	182
38031	231	231
38032	201	201
38033	213	213
38036	213	213
38038	192	192
38040	227	227
38041	226	226
39020	261	261
39021	204	204
39023	250	250
39024	279	279
39041	23	23
41001	219	219
41002	250	250
41003	206	206
41004	283	283
41005	290	290
41007	263	263
41008	221	221
41010	288	288
41011	241	241
41012	207	207
41013	216	216
41015	304	304
41016	201	201
41017	207	207
41018	204	204
41020	171	171
41021	225	225
41022	231	231
41023	175	175
41024	185	185
41025	139	139
41026	238	238
41027	151	151
41028	7	7
41030	232	232
41031	233	233
41033	205	205
41034	186	186
41035	254	254
41036	217	217
41037	251	251
41038	188	188
41040	229	229
41041	210	210
41042	204	204
41043	223	223
41044	243	243
41045	198	198
41046	253	253
45012	239	239
45013	251	251
45014	348	348
45015	362	362
45016	220	220
45017	252	252
45018	245	245
45019	125	125
45020	145	145
45021	200	200
45022	211	211
45023	214	214
45024	168	168
45025	144	144
45026	125	125
45027	223	223
45028	175	175
45029	127	127
45030	207	207
45031	187	187
45032	108	108
45033	179	179
45034	253	253
45035	243	243
45036	263	263
45037	206	206
45038	208	208
45039	210	210
45040	231	231
45041	201	201
45042	234	234
45043	190	190
45044	202	202
45045	126	126
45046	146	146
45047	146	146
45048	131	131
Leyden 1	128	128
Leyden 2	104	104
Leyden 12	58	58
Leyden 17	151	151
Leyden 18	134	134
Leyden 25	109	109
Leyden 27	53	53
Leyden 37	138	138
Leyden 38	58	58
Leyden 42	161	161
Leyden 44	142	142
Leyden 45	127	127
Leyden 49	271	271
Maine 5	140	140
Maine 23	159	159
Maine 27	151	151
Maine 28	105	105
Maine 29	230	230
Maine 30	365	365
Maine 39	177	177
Maine 41	184	184
Maine 43	95	95
Maine 45	83	83
Maine 49	204	204
Maine 55	194	194
Maine 57	136	136
Maine 59	164	164
Maine 60	229	229
Maine 66	22	22
Maine 70	221	221
Maine 82	182	182
Maine 85	75	75
Maine 88	84	84
Maine 91	242	242
Maine 92	147	147
Niles 9	138	138
Niles 13	111	111
Norwood Park 1	229	229
Norwood Park 2	184	184
Norwood Park 4	194	194
Norwood Park 5	162	162
Norwood Park 6	192	192
Norwood Park 7	136	136
Norwood Park 8	94	94
Norwood Park 9	123	123
Norwood Park 10	107	107
Norwood Park 12	147	147
Norwood Park 13	133	133
Norwood Park 15	157	157
Norwood Park 16	129	129
Norwood Park 17	163	163
