Precinct	total_votes	votes|La Shawn K. Ford
28001	104	104
28012	150	150
28014	156	156
28031	235	235
28039	113	113
28041	121	121
28042	120	120
28043	194	194
29002	267	267
29003	224	224
29006	138	138
29008	161	161
29011	109	109
29014	218	218
29016	202	202
29018	178	178
29019	221	221
29020	227	227
29021	224	224
29022	177	177
29028	273	273
29034	165	165
29042	242	242
37001	156	156
37005	209	209
37006	194	194
37009	173	173
37010	211	211
37011	93	93
37014	175	175
37015	213	213
37016	198	198
37017	131	131
37020	129	129
37022	49	49
37023	194	194
37024	181	181
37025	174	174
37026	234	234
37027	179	179
37029	64	64
37030	147	147
37031	187	187
37032	154	154
37033	215	215
37034	180	180
37036	161	161
37038	217	217
37039	162	162
37040	215	215
37041	189	189
Berwyn Ward 7 Precinct 1	186	186
Berwyn Ward 7 Precinct 2	175	175
Berwyn Ward 7 Precinct 4	242	242
Berwyn Ward 8 Precinct 1	345	345
Berwyn Ward 8 Precinct 3	150	150
Lyons 9	345	345
Lyons 11	201	201
Lyons 15	255	255
Lyons 16	490	490
Lyons 18	227	227
Lyons 21	30	30
Oak Park 16	611	611
Oak Park 17	609	609
Oak Park 25	402	402
Oak Park 27	114	114
Oak Park 29	402	402
Oak Park 31	625	625
Oak Park 33	363	363
Oak Park 36	228	228
Proviso 8	14	14
Proviso 21	155	155
Proviso 25	258	258
Proviso 26	333	333
Proviso 32	275	275
Proviso 54	259	259
Proviso 63	237	237
Proviso 75	69	69
Proviso 76	202	202
Proviso 96	106	106
Proviso 102	321	321
Riverside 6	182	182
Riverside 7	202	202
Riverside 11	10	10
Riverside 12	152	152
Riverside 13	258	258
