Precinct	total_votes	votes|Marcus C. Evans, Jr.
07026	309	309
07027	309	309
07028	156	156
07029	343	343
07030	247	247
07032	209	209
07036	484	484
07037	26	26
07038	335	335
07039	346	346
07040	332	332
07041	374	374
07042	368	368
07043	370	370
07044	341	341
07045	370	370
08003	461	461
08004	467	467
08005	452	452
08006	416	416
08007	445	445
08008	417	417
08010	510	510
08011	345	345
08012	360	360
08014	324	324
08015	249	249
08017	350	350
08018	364	364
08019	445	445
08023	334	334
08024	229	229
08025	397	397
08027	450	450
08029	459	459
08030	463	463
08033	338	338
08035	491	491
08036	412	412
08037	326	326
08038	302	302
08040	340	340
08041	433	433
08044	302	302
08045	221	221
08046	321	321
08048	382	382
08049	385	385
08050	411	411
08051	412	412
08052	514	514
08053	238	238
08054	102	102
08056	440	440
10002	336	336
10003	364	364
10005	276	276
10009	331	331
10013	352	352
10014	12	12
10015	686	686
10016	295	295
10017	441	441
10021	6	6
10023	30	30
10024	340	340
10027	13	13
10033	3	3
Bloom 5	374	374
Bloom 14	767	767
Bloom 16	529	529
Bloom 18	370	370
Bloom 22	446	446
Bloom 36	742	742
Bloom 38	529	529
Bloom 41	734	734
Bloom 43	525	525
Bloom 44	589	589
Bloom 53	153	153
Bloom 55	473	473
Thornton 2	262	262
Thornton 3	568	568
Thornton 5	440	440
Thornton 10	561	561
Thornton 11	306	306
Thornton 12	481	481
Thornton 13	490	490
Thornton 14	531	531
Thornton 16	512	512
Thornton 17	343	343
Thornton 18	775	775
Thornton 43	416	416
Thornton 47	414	414
Thornton 50	443	443
Thornton 51	429	429
Thornton 56	493	493
Thornton 57	338	338
Thornton 58	605	605
Thornton 61	356	356
Thornton 62	127	127
Thornton 65	714	714
Thornton 68	557	557
Thornton 79	538	538
