Precinct	total_votes	votes|Mary E. Flowers
06010	278	278
06017	280	280
06019	84	84
06020	262	262
06022	165	165
06025	207	207
06026	37	37
06027	239	239
17002	349	349
17004	410	410
17005	270	270
17009	261	261
17010	454	454
17011	200	200
17015	360	360
17018	407	407
17020	453	453
17021	77	77
17022	329	329
17023	237	237
17024	354	354
17026	365	365
17027	325	325
17028	273	273
17029	347	347
17032	183	183
17034	174	174
17037	228	228
17038	379	379
17039	324	324
17040	385	385
17041	465	465
18004	429	429
18006	102	102
18007	372	372
18008	398	398
18009	152	152
18010	523	523
18012	240	240
18013	443	443
18014	403	403
18016	392	392
18018	302	302
18019	336	336
18020	301	301
18021	177	177
18022	445	445
18026	374	374
18029	21	21
18032	20	20
18033	34	34
18035	464	464
18036	407	407
18037	467	467
18038	370	370
18041	483	483
21002	113	113
21004	362	362
21013	50	50
21015	270	270
21017	42	42
21020	221	221
21026	352	352
21028	457	457
21030	333	333
21034	191	191
21043	344	344
21044	126	126
21047	335	335
21051	401	401
21052	331	331
21053	176	176
21054	315	315
Lyons 5	517	517
Lyons 23	553	553
Lyons 25	189	189
Lyons 28	161	161
Lyons 49	266	266
Lyons 52	556	556
Lyons 53	428	428
Lyons 54	115	115
Lyons 61	476	476
Lyons 73	481	481
Lyons 76	304	304
Lyons 78	301	301
Palos 4	368	368
Palos 5	332	332
Palos 19	561	561
Palos 23	370	370
Palos 27	10	10
Palos 28	496	496
Palos 31	493	493
Palos 38	449	449
Stickney 9	2	2
Worth 1	288	288
Worth 2	586	586
Worth 21	715	715
Worth 25	176	176
Worth 26	334	334
Worth 30	524	524
Worth 33	68	68
Worth 40	88	88
Worth 44	358	358
Worth 47	311	311
Worth 53	526	526
Worth 58	277	277
Worth 66	390	390
Worth 76	270	270
Worth 82	459	459
Worth 83	186	186
Worth 94	593	593
Worth 99	314	314
