Precinct	total_votes	votes|Justin Q. Slaughter
09002	73	73
09010	159	159
09017	62	62
09020	167	167
09021	186	186
09027	167	167
09030	138	138
19014	248	248
19020	267	267
19031	206	206
19040	263	263
19042	194	194
19043	342	342
19047	378	378
19048	263	263
19049	314	314
21002	112	112
21005	259	259
21006	189	189
21010	188	188
21011	187	187
21012	189	189
21017	132	132
21019	224	224
21020	83	83
21021	165	165
21022	127	127
21023	179	179
21024	222	222
21025	197	197
21027	209	209
21033	199	199
21034	86	86
21035	256	256
21036	163	163
21037	158	158
21038	181	181
21039	160	160
21040	193	193
21041	214	214
21042	159	159
21043	36	36
21044	174	174
21045	167	167
21046	235	235
21048	119	119
21049	233	233
21050	145	145
21052	23	23
34001	221	221
34002	83	83
34005	189	189
34007	246	246
34008	164	164
34010	222	222
34012	238	238
34013	210	210
34015	138	138
34017	268	268
34019	194	194
34020	153	153
34021	270	270
34025	321	321
34029	171	171
34031	25	25
34032	174	174
34034	259	259
34035	232	232
34040	214	214
34043	202	202
34044	219	219
34045	183	183
34046	160	160
34047	215	215
34048	246	246
34049	174	174
34051	110	110
34052	182	182
Bremen 64	15	15
Bremen 68	84	84
Calumet 2	133	133
Calumet 6	167	167
Orland 21	190	190
Orland 35	162	162
Palos 1	73	73
Palos 3	153	153
Palos 9	119	119
Palos 15	151	151
Palos 24	17	17
Palos 33	192	192
Worth 7	139	139
Worth 8	245	245
Worth 9	0	0
Worth 12	122	122
Worth 14	234	234
Worth 16	79	79
Worth 17	249	249
Worth 18	113	113
Worth 19	208	208
Worth 20	43	43
Worth 23	151	151
Worth 34	175	175
Worth 42	138	138
Worth 43	67	67
Worth 50	192	192
Worth 55	119	119
Worth 59	365	365
Worth 64	204	204
Worth 65	233	233
Worth 68	201	201
Worth 79	88	88
Worth 88	126	126
Worth 89	198	198
Worth 95	187	187
Worth 97	189	189
