Precinct	total_votes	votes|Richard J. Durbin	votes|Mark C. Curran Jr.	votes|Willie L. Wilson	votes|David F. Black	votes|Danny Malouf
01001	759	618	77	36	18	10
01002	610	514	53	25	12	6
01003	843	704	96	22	9	12
01004	828	673	107	21	14	13
01005	772	628	110	13	11	10
01006	658	512	98	24	17	7
01007	496	403	51	29	5	8
01008	655	519	77	41	12	6
01009	507	427	51	16	11	2
01010	914	735	143	12	11	13
01011	832	690	99	23	12	8
01012	882	693	127	24	22	16
01013	357	297	38	8	7	7
01014	723	602	87	23	4	7
01015	644	502	94	22	15	11
01016	775	666	72	20	9	8
01017	618	512	48	40	12	6
01018	693	592	46	27	20	8
01019	822	706	62	27	16	11
01020	543	459	39	32	9	4
01021	1082	901	136	13	20	12
01022	488	406	55	13	10	4
01023	910	776	71	29	22	12
01024	649	544	49	35	15	6
01025	694	574	73	29	11	7
01026	478	386	41	31	11	9
01027	792	638	99	17	14	24
01028	251	186	35	27	2	1
01029	936	783	104	20	11	18
01030	789	660	66	41	17	5
01031	656	534	67	36	13	6
01032	688	533	111	21	8	15
01033	822	643	132	23	17	7
01034	560	493	46	11	6	4
01035	892	710	126	24	15	17
01036	830	659	134	13	14	10
01037	753	597	120	16	14	6
01038	697	577	73	18	19	10
01039	608	500	79	15	8	6
01040	681	518	90	53	9	11
01041	404	349	27	12	7	9
01042	224	183	26	7	6	2
01043	457	375	44	18	12	8
01044	648	548	57	16	13	14
02001	823	667	100	20	16	20
02002	506	378	113	9	2	4
02003	841	688	112	11	15	15
02004	742	624	79	14	15	10
02005	865	710	109	15	19	12
02006	774	622	107	19	14	12
02007	685	547	96	15	12	15
02008	932	761	124	19	16	12
02009	723	481	204	23	4	11
02010	532	357	159	9	3	4
02011	725	504	199	13	4	5
02012	621	484	87	41	2	7
02013	595	452	131	0	6	6
02014	742	603	92	20	14	13
02015	694	569	80	25	11	9
02016	699	562	98	21	11	7
02017	807	646	117	20	12	12
02018	659	476	154	16	1	12
02019	483	344	127	6	0	6
02020	961	696	230	10	11	14
02021	767	643	86	17	12	9
02022	779	577	173	22	2	5
02023	473	342	117	13	0	1
02024	686	526	136	15	2	7
02025	835	672	125	11	13	14
02026	657	470	140	40	2	5
02027	639	398	213	11	7	10
02028	819	600	194	10	4	11
02029	802	590	187	12	7	6
02030	608	418	169	12	3	6
02031	812	593	187	14	5	13
02032	614	417	181	7	6	3
02033	1007	709	262	21	4	11
02034	526	371	138	7	5	5
02035	973	684	251	20	8	10
02036	819	574	221	15	4	5
02037	604	451	120	17	4	12
02038	648	435	192	12	4	5
02039	493	286	173	22	2	10
02040	1018	707	268	25	9	9
02041	872	579	249	19	9	16
02042	800	570	196	17	8	9
02043	986	657	289	17	5	18
02044	424	296	116	7	2	3
02045	843	605	183	36	7	12
02046	407	278	108	12	0	9
03001	810	595	10	198	5	2
03002	642	526	9	101	3	3
03003	543	405	50	82	5	1
03004	662	515	8	129	6	4
03005	356	264	12	71	5	4
03006	948	720	173	32	11	12
03007	377	278	6	92	1	0
03008	490	344	11	128	3	4
03009	678	510	9	146	8	5
03010	314	233	8	66	3	4
03011	653	501	11	134	4	3
03012	580	441	8	122	8	1
03013	785	640	97	32	4	12
03014	761	605	82	54	11	9
