Precinct	total_votes	votes|Debbie Meyers-Martin (Biden)	votes|Vernard Alsberry (Biden)	votes|Michael W. Smith (Biden)	votes|Sheila Chalmers-Currin (Biden)	votes|Lamar C. Brown (Biden)	votes|Marrice Coverson (Biden)	votes|Cory Thames (Biden)	votes|André J. Washington (Warren)	votes|Hope Zawaski (Warren)	votes|Al Riley (Warren)	votes|Cleopatra Watson (Warren)	votes|Jaylin McClinton (Warren)	votes|Amanda Jo Greep (Warren)	votes|David Bonner (Warren)	votes|Aisha El-Amin (Sanders)	votes|Maureen Forte (Sanders)	votes|Sukari Campbell (Sanders)	votes|Abdul Malik Mujahid (Sanders)	votes|John Willard (Sanders)	votes|Kenneth Franklin (Sanders)	votes|Lyle C. Evans, Jr. (Sanders)	votes|Kenneth Henderson (Yang)	votes|Sanovia Reynolds-Parks (Yang)	votes|Juan Juarez (Yang)	votes|Paula Wilson (Yang)	votes|Reggie Greenwood (Yang)	votes|Monique Williams (Yang)	votes|Kyle Summers (Yang)	votes|Emily Higgs (Buttigieg)	votes|Randall Krause-Vinson (Buttigieg)	votes|Sherry Newquist (Buttigieg)	votes|Alfred Saucedo (Buttigieg)	votes|Micaela G. Smith (Klobuchar)	votes|Kristal Hudson-Davis (Klobuchar)
05001	1441	156	137	151	143	142	132	136	15	6	12	9	9	2	7	50	49	40	56	45	47	54	7	1	4	9	4	5	3	2	1	1	1	4	1
05006	1435	149	126	132	137	135	127	136	9	8	6	11	4	1	5	61	58	58	61	57	59	59	5	5	4	4	2	3	1	0	1	3	2	3	3
05010	325	29	26	31	28	27	27	28	4	4	7	6	2	2	2	9	9	10	16	15	14	14	3	2	1	2	2	1	1	2	0	0	1	0	0
05011	1374	121	116	121	117	121	115	109	9	11	10	14	7	9	7	68	70	67	70	66	67	62	1	2	1	1	1	3	1	2	1	2	0	2	0
05014	1722	162	156	152	159	161	145	154	13	12	8	17	10	7	8	75	64	65	82	63	75	71	11	4	4	3	7	9	6	4	4	5	2	2	2
05018	896	62	58	57	57	59	63	60	14	10	7	12	8	10	4	59	60	57	61	56	54	55	2	2	2	1	1	1	1	1	0	1	0	0	1
05023	3677	289	273	279	277	279	272	263	46	43	33	53	41	36	27	207	198	198	203	191	192	187	7	4	7	6	4	10	2	11	5	9	8	8	9
05025	1513	171	155	164	152	159	151	161	19	12	16	23	11	5	7	37	35	36	42	40	43	35	4	2	3	2	2	9	2	4	1	3	0	2	5
05026	1661	170	152	170	168	161	158	151	16	14	19	12	13	7	6	51	52	44	61	57	60	66	7	5	7	8	4	8	1	5	0	3	1	3	1
05028	1982	232	210	212	212	212	204	207	20	13	12	24	12	10	10	47	42	39	59	50	54	46	5	2	4	9	6	6	5	3	2	2	2	5	4
05029	1881	192	172	182	176	176	171	170	26	16	18	24	14	7	8	75	68	69	77	64	72	64	5	7	6	3	3	4	6	2	1	1	0	2	0
05031	1226	134	124	136	132	119	118	130	7	5	8	15	8	5	8	33	29	32	38	38	37	40	3	1	2	5	6	5	2	2	0	0	0	3	1
05032	2097	234	219	223	226	227	210	214	19	13	9	20	6	7	2	52	53	49	66	68	61	63	9	4	5	11	6	8	2	5	0	2	0	1	3
05035	418	27	23	26	25	24	23	19	7	5	4	6	5	5	4	30	30	29	31	28	30	27	0	0	1	0	0	0	2	1	1	1	1	2	1
05036	627	67	57	64	59	60	53	54	14	8	6	9	8	3	3	18	16	18	25	18	25	18	1	2	1	3	4	4	5	2	0	0	0	0	2
05037	2447	217	211	212	214	215	209	208	28	28	27	31	22	21	19	106	100	98	110	104	107	102	5	5	7	5	6	5	6	3	1	3	1	6	5
05038	1325	140	131	137	136	137	128	126	16	5	13	8	5	3	8	34	37	36	46	46	41	40	5	7	5	7	5	11	2	2	2	1	1	1	3
05040	1328	143	123	134	127	123	118	125	7	12	10	15	10	11	10	40	43	38	48	45	42	50	4	4	3	4	3	9	6	4	2	1	4	5	5
05041	1278	158	151	149	152	153	147	150	10	10	9	9	8	8	6	19	18	16	21	20	21	20	2	1	3	0	1	1	1	5	4	1	2	0	2
07001	653	66	58	64	67	65	57	58	6	5	4	9	3	3	4	20	19	15	21	26	28	24	5	0	1	3	3	4	5	0	4	2	0	2	2
07002	1109	118	94	107	101	97	86	97	8	9	13	15	7	5	5	42	43	33	45	41	48	42	4	7	4	3	7	8	2	7	2	5	1	1	2
07003	1551	160	152	158	156	163	149	151	19	11	9	19	11	8	5	55	46	40	55	54	56	49	1	3	4	2	2	3	1	1	0	1	0	5	2
07004	1440	167	154	161	154	159	142	151	10	7	5	15	9	5	5	34	31	30	37	42	37	38	9	2	2	4	6	8	3	6	0	1	0	1	5
07005	1182	125	105	116	104	109	105	107	13	4	4	6	3	4	5	47	47	46	49	47	47	46	4	4	6	2	4	5	0	4	2	3	2	5	2
07006	1854	194	178	183	177	178	169	171	23	19	19	24	14	15	13	67	62	59	66	59	60	62	3	4	3	5	5	6	4	3	2	2	1	1	3
07007	1108	120	102	109	110	103	102	104	10	7	8	13	3	2	5	36	38	34	42	42	41	41	5	3	5	3	3	5	2	1	1	3	2	1	2
07008	802	80	67	74	75	75	61	60	12	10	8	7	6	4	6	33	29	29	36	32	31	35	5	5	1	2	2	5	1	1	3	1	2	3	1
07009	2356	263	230	230	237	237	215	222	24	17	18	33	14	12	11	82	73	68	79	73	74	75	11	3	4	7	7	11	6	5	2	2	2	4	5
07010	1629	180	160	169	165	170	160	162	9	2	7	15	8	4	3	59	50	51	57	49	58	53	6	4	3	5	3	4	5	2	0	2	2	1	1
07011	1315	132	118	123	117	118	115	114	16	12	11	17	14	6	5	56	52	44	50	49	54	46	3	6	5	4	3	5	3	2	2	4	1	4	4
07012	1062	119	97	111	103	102	96	102	10	10	9	13	8	6	7	30	30	26	34	34	42	36	3	3	5	2	2	6	2	2	2	3	3	2	2
07013	857	97	84	91	88	88	84	87	7	2	5	6	3	0	4	23	25	23	27	27	29	31	4	1	4	4	1	4	1	1	0	1	2	2	1
07014	1300	127	115	113	114	109	109	109	20	14	8	17	16	9	10	40	46	39	53	49	48	55	3	8	6	7	12	6	5	5	9	4	4	8	3
07015	1261	137	121	131	130	125	117	121	11	5	4	19	6	5	7	46	38	38	47	38	43	41	5	4	4	4	2	4	2	3	0	0	2	0	1
07016	943	96	78	89	87	89	83	86	9	9	5	16	7	4	5	31	32	34	38	36	41	35	3	3	4	0	4	5	1	2	1	2	2	5	1
07017	1182	135	120	122	124	122	117	123	10	4	4	15	10	8	4	31	30	28	36	32	37	34	5	2	3	1	2	6	3	3	1	1	2	3	4
07018	933	95	83	88	91	87	83	87	6	7	8	9	7	1	2	32	31	35	34	35	41	40	1	3	4	3	2	5	3	1	1	3	1	1	3
07019	1153	116	94	101	101	109	94	103	18	9	9	15	10	4	6	45	43	39	51	49	49	45	4	3	2	6	1	11	5	4	2	2	2	0	1
07020	885	95	78	85	79	81	76	77	5	7	11	12	9	5	9	34	34	29	29	31	38	30	2	1	1	6	3	5	3	2	1	3	1	1	2
07021	870	100	89	91	85	83	88	85	10	3	7	7	2	4	3	29	26	23	28	28	28	27	2	1	5	2	1	3	1	2	0	2	2	1	2
07022	1066	117	100	107	107	104	96	97	11	5	8	13	9	5	5	31	31	32	37	33	34	37	6	4	10	5	5	3	2	4	1	1	1	2	3
07023	1455	171	152	163	160	156	150	147	7	6	9	12	8	4	3	38	33	32	38	32	43	40	7	5	3	8	6	11	3	4	0	0	0	4	0
07024	994	116	102	106	108	114	100	100	6	7	8	9	3	6	4	28	20	23	29	24	27	28	4	2	3	4	2	2	3	2	1	1	0	0	2
07025	981	96	86	94	83	85	83	86	6	3	4	7	4	3	10	40	39	38	43	43	41	40	4	0	7	2	4	5	3	4	4	4	5	3	2
07026	1139	125	121	128	132	128	124	122	10	6	8	10	6	5	8	32	26	25	27	26	28	28	1	1	1	4	1	2	1	0	0	1	0	1	1
07027	1067	120	104	110	116	112	103	116	13	7	12	10	10	7	8	25	26	22	27	22	32	26	2	2	3	3	1	6	2	7	1	0	2	7	3
07028	823	98	85	91	85	87	83	82	5	6	2	10	5	3	2	23	19	24	23	19	24	21	0	2	1	0	2	5	2	2	0	2	1	4	5
07029	1042	117	104	115	110	114	107	113	7	5	7	6	8	2	3	33	33	27	34	25	26	27	1	1	2	1	1	3	0	1	0	3	1	2	3
07030	852	97	83	89	88	88	87	81	9	1	6	6	8	2	4	25	23	21	22	28	29	24	5	4	10	3	3	3	2	0	0	0	1	0	0
07031	790	90	74	79	72	74	72	75	4	3	2	4	4	0	2	32	28	27	32	33	30	36	1	1	1	2	1	2	3	0	1	1	2	2	0
07032	2109	251	237	250	246	259	235	237	15	9	8	15	11	7	6	38	42	36	37	42	45	43	4	5	4	7	1	4	4	4	2	2	1	1	1
07033	2115	252	234	242	245	243	227	227	14	11	9	16	11	7	8	45	48	39	47	47	47	44	1	5	5	4	4	9	4	7	0	2	1	5	5
07034	1833	222	199	206	204	205	190	198	14	3	6	9	8	3	4	42	41	37	54	44	54	51	0	5	4	5	4	8	2	6	0	3	0	1	1
07035	1431	141	117	125	125	129	121	126	17	10	9	19	12	6	5	60	59	56	59	59	64	62	5	3	10	4	3	12	3	3	1	1	1	2	2
07036	1854	214	203	203	206	206	200	197	12	9	11	15	9	8	8	44	41	38	48	46	47	44	7	4	8	4	4	5	4	0	2	0	0	1	6
07037	1413	162	141	149	149	147	142	143	8	9	9	10	7	9	8	38	36	35	35	39	40	39	6	3	6	5	6	8	5	3	2	3	5	4	2
07038	1056	131	114	116	119	120	111	120	16	9	10	16	8	7	6	19	17	19	25	17	21	19	2	1	0	2	4	4	1	1	1	0	0	0	0
07039	1334	145	133	133	138	136	130	128	18	11	14	16	11	5	5	40	33	32	41	44	36	39	2	7	2	4	3	6	3	4	2	3	2	3	5
07040	1232	150	133	140	147	146	141	139	8	9	5	8	6	2	5	22	20	15	23	28	25	29	3	1	5	2	3	2	3	6	1	2	2	1	0
07041	1390	158	138	143	143	150	134	140	11	8	2	12	9	3	7	42	40	42	38	43	46	44	3	4	5	4	4	8	2	2	1	0	1	0	3
07042	1274	142	129	135	135	134	122	123	13	8	4	10	2	5	2	35	39	34	43	44	45	37	5	2	6	2	4	1	1	2	1	1	1	3	4
