Precinct	total_votes	votes|Daniel William Lipinski
11001	451	451
11004	385	385
11005	574	574
11008	398	398
11009	375	375
11010	371	371
11011	470	470
11012	560	560
11013	532	532
11015	158	158
11016	306	306
11017	502	502
11018	363	363
11019	572	572
11020	291	291
11021	561	561
11022	535	535
11023	243	243
11024	516	516
11025	507	507
11026	493	493
11027	164	164
11028	211	211
11029	476	476
11031	438	438
11032	212	212
11037	0	0
12001	426	426
12003	420	420
12004	416	416
12005	118	118
12008	16	16
12009	339	339
12019	396	396
12023	426	426
13001	306	306
13002	280	280
13003	292	292
13004	396	396
13005	436	436
13006	330	330
13007	308	308
13008	284	284
13009	373	373
13010	312	312
13011	377	377
13012	330	330
13013	345	345
13014	364	364
13015	567	567
13016	280	280
13017	320	320
13018	296	296
13020	236	236
13021	413	413
13022	392	392
13023	319	319
13024	337	337
13025	382	382
13026	379	379
13027	342	342
13028	288	288
13029	317	317
13030	293	293
13031	375	375
13032	304	304
13033	317	317
13034	399	399
13035	326	326
13036	240	240
13037	410	410
13038	304	304
13039	362	362
13040	307	307
13041	356	356
13042	324	324
13043	367	367
13044	369	369
13045	379	379
13046	463	463
13047	429	429
13048	321	321
14001	429	429
14004	379	379
14005	39	39
14007	515	515
14008	474	474
14009	460	460
14012	445	445
14018	162	162
14021	385	385
14022	526	526
14023	324	324
14024	443	443
14025	0	0
14026	300	300
14029	360	360
15001	240	240
15005	92	92
15008	117	117
15013	338	338
15014	320	320
15015	231	231
15016	416	416
15019	340	340
16001	303	303
16007	14	14
16023	276	276
16032	444	444
16035	123	123
18015	459	459
18024	397	397
18025	425	425
18030	460	460
18040	488	488
18043	317	317
18046	444	444
19001	358	358
19002	76	76
19003	308	308
19004	465	465
19005	146	146
19006	397	397
19007	406	406
19008	431	431
19009	324	324
19010	420	420
19011	370	370
19012	313	313
19015	508	508
19016	412	412
19017	379	379
19018	377	377
19019	508	508
19021	407	407
19022	418	418
19023	408	408
19024	297	297
19025	280	280
19026	413	413
19029	397	397
19030	378	378
19032	365	365
19033	414	414
19034	374	374
19035	368	368
19041	366	366
19044	437	437
19045	402	402
19046	414	414
19050	347	347
19051	465	465
19052	456	456
19053	380	380
19054	301	301
19055	342	342
19056	438	438
19057	278	278
20004	66	66
20015	50	50
20020	0	0
22001	258	258
22002	467	467
22008	523	523
22012	350	350
22023	505	505
23001	386	386
23002	370	370
23003	363	363
23004	419	419
23005	422	422
23006	462	462
23007	391	391
23008	459	459
23009	165	165
23010	478	478
23011	468	468
23012	367	367
23014	342	342
23015	296	296
23016	351	351
23017	169	169
23018	331	331
23019	238	238
23020	278	278
23021	367	367
23022	390	390
23023	359	359
23025	407	407
23026	264	264
23027	321	321
23028	361	361
23029	323	323
23030	456	456
23031	266	266
23032	388	388
23033	433	433
23034	242	242
23035	302	302
23036	368	368
23037	343	343
23038	337	337
23039	162	162
