Precinct	total_votes	votes|John F Morrow	votes|Robin Kelly
05001	539	16	523
05006	486	18	468
05010	204	3	201
05011	367	23	344
05014	452	5	447
05018	208	9	199
05023	1007	78	929
05025	378	13	365
05026	600	17	583
05028	584	22	562
05029	622	17	605
05031	471	11	460
05032	590	17	573
05035	101	3	98
05036	370	16	354
05037	590	39	551
05038	556	8	548
05040	448	12	436
05041	287	8	279
07001	301	11	290
07002	512	14	498
07003	440	12	428
07004	427	9	418
07005	416	16	400
07006	603	23	580
07007	513	21	492
07008	379	17	362
07009	751	28	723
07010	495	13	482
07011	576	12	564
07012	478	15	463
07013	289	5	284
07014	526	26	500
07015	460	14	446
07016	425	12	413
07017	415	22	393
07018	456	16	440
07019	442	11	431
07020	364	14	350
07021	410	18	392
07022	422	28	394
07023	433	6	427
07024	412	9	403
07025	456	34	422
07026	373	14	359
07027	389	11	378
07028	366	14	352
07029	398	14	384
07030	403	15	388
07031	309	15	294
07032	583	15	568
07033	531	16	515
07034	508	4	504
07035	466	16	450
07036	528	11	517
07037	481	13	468
07038	417	12	405
07039	413	13	400
07040	403	9	394
07041	438	10	428
07042	415	10	405
07043	432	10	422
07044	415	12	403
07045	500	25	475
07046	182	12	170
08004	329	4	325
08005	18	0	18
08007	521	10	511
08009	315	9	306
08017	380	9	371
08027	406	7	399
08028	497	10	487
08032	386	7	379
08036	498	6	492
08039	475	10	465
08042	627	14	613
08046	405	11	394
08049	61	0	61
08050	171	1	170
08053	257	4	253
09001	474	18	456
09002	424	9	415
09003	435	12	423
09004	374	9	365
09005	399	4	395
09006	443	11	432
09007	355	11	344
09008	517	12	505
09009	505	10	495
09010	393	6	387
09011	363	15	348
09013	465	9	456
09014	541	10	531
09015	584	20	564
09016	401	13	388
09017	424	7	417
09018	335	9	326
09019	431	11	420
09020	448	7	441
09021	417	12	405
09022	476	14	462
09026	651	11	640
09027	431	9	422
09028	342	21	321
09029	461	21	440
09030	387	14	373
09031	381	12	369
09032	443	17	426
09033	380	10	370
09034	412	10	402
09035	419	6	413
09037	570	71	499
09038	464	16	448
09039	493	7	486
09040	471	10	461
09041	380	7	373
09043	464	18	446
09044	374	4	370
09045	430	7	423
09046	486	27	459
10001	409	23	386
10002	419	137	282
10003	419	133	286
10004	404	32	372
10005	368	113	255
10006	385	65	320
10007	347	47	300
10008	384	10	374
10009	423	146	277
10010	455	105	350
10011	541	85	456
10012	322	87	235
10013	506	42	464
10014	574	123	451
10015	859	12	847
10016	356	80	276
10017	568	186	382
10018	320	15	305
10019	478	125	353
10020	453	103	350
10021	463	76	387
10022	293	34	259
10023	422	51	371
10024	473	183	290
10025	152	11	141
10026	372	45	327
10027	502	36	466
10028	515	85	430
10029	436	71	365
10030	431	44	387
10031	353	43	310
10032	440	90	350
10033	334	47	287
10034	361	21	340
10035	477	154	323
10036	106	8	98
34002	75	0	75
34004	398	18	380
34018	369	19	350
34022	315	14	301
34023	385	7	378
34024	450	15	435
34027	420	15	405
34028	350	10	340
34030	257	3	254
34036	419	12	407
34037	344	12	332
34038	279	5	274
34039	368	5	363
34041	245	5	240
34053	357	11	346
