Precinct	total_votes	votes|Herb Schumann	votes|Martin J. Durkan	votes|Christopher Anthony
01001	551	77	366	108
01002	526	33	402	91
01003	635	132	410	93
01004	622	122	388	112
01005	598	129	378	91
01006	542	106	346	90
01007	390	55	245	90
01008	499	87	339	73
01009	432	58	309	65
01010	696	173	441	82
01011	621	139	370	112
01012	628	126	391	111
01013	240	36	164	40
01014	567	94	387	86
01015	494	72	312	110
01016	527	58	379	90
01017	470	52	335	83
01018	570	54	400	116
01019	690	75	487	128
01020	439	40	298	101
01021	647	140	394	113
01022	354	50	255	49
01023	740	90	480	170
01024	485	51	336	98
01025	512	76	329	107
01026	370	27	265	78
01027	559	126	337	96
01028	162	9	141	12
01029	545	98	344	103
01030	620	65	434	121
01031	549	79	375	95
01032	546	114	337	95
01033	606	128	377	101
01034	489	74	308	107
01035	681	145	416	120
01036	586	138	366	82
01037	561	144	331	86
01038	539	80	358	101
01039	468	99	293	76
01040	542	109	368	65
01041	296	28	198	70
01042	174	28	105	41
01043	366	52	239	75
01044	473	55	312	106
02001	622	123	387	112
02002	453	149	244	60
02003	666	176	379	111
02004	503	96	335	72
02005	675	140	433	102
02006	570	109	386	75
02007	542	131	348	63
02008	672	161	405	106
02009	500	230	215	55
02010	485	232	221	32
02011	581	266	270	45
02012	521	122	354	45
02013	523	197	267	59
02014	606	109	359	138
02015	539	123	328	88
02016	508	98	340	70
02017	669	128	413	128
02018	562	197	309	56
02019	401	176	187	38
02020	672	219	383	70
02021	570	116	351	103
02022	620	259	297	64
02023	394	190	167	37
02024	537	175	314	48
02025	646	150	399	97
02026	496	141	308	47
02027	552	216	278	58
02028	659	261	330	68
02029	637	238	315	84
02030	501	197	255	49
02031	721	309	342	70
02032	520	190	273	57
02033	840	329	453	58
02034	471	193	233	45
02035	754	284	396	74
02036	460	171	232	57
02037	512	176	279	57
02038	548	255	235	58
02039	409	182	186	41
02040	672	233	378	61
02041	616	242	313	61
02042	645	223	365	57
02043	803	332	401	70
02044	381	153	190	38
02045	551	157	323	71
02046	342	141	154	47
03001	665	11	619	35
03002	619	21	546	52
03003	465	47	386	32
03004	592	12	531	49
03005	410	14	369	27
03006	676	192	381	103
03007	376	14	337	25
03008	560	9	505	46
03009	551	18	498	35
03010	334	7	316	11
03011	577	11	517	49
03012	504	13	434	57
03013	658	181	385	92
03014	616	116	428	72
03015	585	14	532	39
03016	562	12	512	38
03017	694	99	518	77
03018	804	34	717	53
03019	638	204	347	87
03020	582	25	523	34
03021	613	160	394	59
03022	755	170	481	104
03023	507	18	459	30
03024	502	17	455	30
03025	932	299	528	105
03026	633	169	375	89
03027	708	217	395	96
03028	337	10	302	25
03029	642	21	589	32
03030	530	17	479	34
03031	687	10	626	51
03032	653	135	466	52
03033	684	168	437	79
03034	687	143	459	85
03035	279	9	242	28
03036	353	5	331	17
03037	511	5	465	41
03038	456	13	404	39
03039	771	197	484	90
03040	635	60	516	59
03041	437	52	329	56
04001	693	79	504	110
04002	708	183	425	100
04003	522	8	471	43
04004	752	23	665	64
04005	541	25	462	54
04006	638	36	550	52
04007	665	15	598	52
04008	622	7	545	70
04009	588	13	510	65
04010	623	27	526	70
04011	613	17	558	38
04012	630	18	569	43
04013	646	118	438	90
04014	570	15	502	53
04015	677	27	590	60
04016	829	190	524	115
04017	758	138	493	127
04018	488	21	436	31
04019	549	14	509	26
04020	493	117	300	76
04021	785	133	528	124
04022	559	55	437	67
04023	723	53	547	123
04024	520	48	410	62
04025	654	173	382	99
04026	551	16	506	29
04027	659	43	526	90
04028	525	29	449	47
04029	574	8	513	53
04030	775	18	707	50
04031	554	30	476	48
04032	609	15	544	50
04033	602	34	497	71
04034	514	19	449	46
04035	660	20	592	48
04036	628	28	548	52
04037	913	195	587	131
04038	582	18	502	62
05001	528	13	477	38
05002	482	13	444	25
05003	547	46	398	103
05004	662	39	529	94
05005	512	13	458	41
05006	458	14	413	31
05007	507	45	408	54
05008	554	69	366	119
05009	616	36	487	93
05010	477	7	430	40
05011	551	52	397	102
05012	441	14	402	25
05013	468	11	412	45
05014	430	7	384	39
05015	502	27	403	72
05016	543	11	497	35
05017	490	17	442	31
05018	515	28	404	83
05019	510	60	350	100
05020	586	44	452	90
05021	558	60	402	96
05022	579	72	434	73
05023	920	114	637	169
05024	591	55	427	109
05025	491	19	418	54
05026	570	14	509	47
05027	700	107	479	114
05028	548	19	470	59
05029	588	20	515	53
05030	456	15	411	30
05031	453	10	399	44
05032	569	20	497	52
05033	544	8	511	25
05034	673	101	455	117
05035	541	63	379	99
05036	345	10	321	14
05037	544	56	412	76
05038	536	7	498	31
05039	403	49	289	65
05040	424	9	380	35
05041	263	16	217	30
06001	470	9	428	33
06002	477	4	441	32
06003	469	7	444	18
06004	404	8	383	13
06005	367	4	345	18
06006	435	14	387	34
06007	475	12	436	27
06008	460	7	434	19
06009	529	16	486	27
06010	340	10	308	22
06011	435	14	393	28
06012	412	5	389	18
06013	348	11	310	27
06014	474	11	428	35
06015	455	11	429	15
06016	456	12	414	30
06017	389	4	358	27
06018	387	10	352	25
06019	436	9	396	31
06020	342	7	320	15
06021	327	6	310	11
06022	366	17	340	9
06023	307	9	285	13
06024	278	2	264	12
06025	305	5	283	17
06026	405	7	372	26
06027	329	10	302	17
06028	289	9	270	10
06029	460	6	420	34
06030	443	12	397	34
06031	454	9	416	29
06032	444	11	399	34
06033	466	15	422	29
06034	494	11	447	36
06035	428	6	400	22
06036	493	15	443	35
06037	451	14	399	38
06038	469	7	423	39
06039	444	13	406	25
06040	406	5	380	21
06041	471	12	438	21
06042	503	11	464	28
06043	417	7	382	28
06044	499	11	449	39
06045	513	11	462	40
06046	329	7	298	24
06047	375	4	352	19
06048	471	11	427	33
07001	459	14	421	24
07002	484	15	443	26
07003	430	11	393	26
07004	415	7	376	32
07005	396	11	350	35
07006	580	17	503	60
07007	491	20	447	24
07008	365	13	321	31
07009	716	18	640	58
07010	484	9	446	29
07011	549	8	500	41
07012	452	10	413	29
07013	280	9	254	17
07014	504	17	458	29
07015	437	12	394	31
07016	415	14	375	26
07017	403	14	369	20
07018	437	16	382	39
07019	430	14	385	31
07020	359	12	328	19
07021	389	10	356	23
07022	410	20	364	26
07023	417	7	388	22
07024	378	4	346	28
07025	451	17	404	30
07026	364	7	335	22
07027	383	5	350	28
07028	354	10	322	22
07029	384	10	354	20
07030	382	16	333	33
07031	299	6	278	15
07032	572	16	515	41
07033	512	12	469	31
07034	491	11	430	50
07035	455	11	413	31
07036	518	16	471	31
07037	459	7	426	26
07038	409	9	378	22
07039	396	6	370	20
07040	391	8	360	23
07041	425	11	386	28
07042	401	11	368	22
07043	411	8	379	24
07044	395	6	365	24
07045	486	16	445	25
07046	159	1	147	11
